number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.40705754300501695 0.09785921945520379 -0.0027826271514033037 -0.04227501532780053 -0.15697212745121414 0.03766067409213008 -0.0014200446701738843 -0.011828603587880399 -0.008967159350793468 
1 1 1 | -0.07957996192708805 0.12737768462550858 0.008657583099041938 -0.00250606324944852 0.0033470614275322953 0.028005441836054024 -0.040481579151476876 0.04817796446484854 0.13614658205648905 
2 2 2 | 0.2705684770278287 0.02341238829351156 -0.03455845516769818 0.06730707975213136 -0.1467301002856767 -0.029879329309887254 0.0761993114207768 0.04288824076313599 0.09034305833608805 
3 3 3 | -0.05821888598300795 -0.09184710392518826 0.03486954995867124 -0.03413617246621206 -0.0731747080447712 0.027318186825871754 0.040428037877360726 0.05162775363746046 0.12793958995824328 
4 4 4 | -0.050125682667919946 -0.037075291686600335 0.01193969300951756 -0.013825531181906053 -0.024445845210170417 0.023588275318693945 -0.02955879992725606 0.0834739902713461 0.1900286140292397 
5 5 5 | -0.26048909593993663 -0.016664778007513033 0.021186318481694277 0.0015872553668130837 -0.06266746365143994 -0.027171778397848196 0.07586194484348364 0.08003857516319723 0.15764277454219594 
6 6 6 | -0.14551278251484057 -0.03251242173984859 -0.0069829082118242165 0.02758563666241361 -0.05397153704786806 0.06838302416827712 -0.07974007794192747 0.053686354253489055 0.13008769466150447 
7 7 7 | -0.1882907631363988 0.023545253636452698 -0.014024830649669218 0.02440929205270263 0.023503255228453816 0.01499665508830323 -0.006240725182255463 0.0641162227113351 0.1392044287205264 
8 8 8 | -0.22315715349036758 0.02146155736159653 -0.021153984320910375 0.03613580323914368 -0.1651032330562109 -0.015954235498305786 0.046295424055892626 0.02643651793668673 0.05174013367741401 
9 9 9 | -0.4195374531887426 -0.06538312782310167 0.031026142092694504 -0.014961816124757442 -0.02180164019109511 0.0640818308831849 -0.06838131463625359 -0.004173069607631647 0.039729077404290145 
10 10 10 | 0.4151394891114516 0.02942174123844712 -0.003096475879639154 0.019444146437098745 0.002971965635143339 0.0070207754757139525 -0.015402712391186029 -0.006883613745212891 -0.009823239682210935 
11 11 11 | 0.1388528698245065 -0.018557773025825126 -0.026575060777034865 0.049816275206572475 0.02366326511973398 -0.003234976203210648 0.0033909407656292755 -0.004527256264949665 -0.008909007471233485 
12 12 12 | 0.19350672681933423 0.05262259452126148 -0.009089808260082998 0.014808243901855265 -0.0033435825226905817 0.006180982072396115 -0.005291095710770597 -0.0058664746593620675 -0.013973757570990569 
13 13 13 | 0.12978100973860995 0.0024526602001014946 0.04858797397890074 -0.001824850550439292 0.00711458883905207 0.019229915523089013 -0.005326553660719221 -0.009812173390606697 0.0027592488867219035 
14 14 14 | 0.12634209816672237 0.012832015197812798 -0.0148390553404395 0.0443055748921369 0.01253762864355062 -0.006177669921486512 0.00957618944664499 0.010032950233452988 0.011736320178012268 
15 15 15 | 0.12331225994591621 0.03959187239267 0.018171991568422793 -0.029649020680526533 0.01071865572164268 -0.011321100161690287 0.01757613556834587 -0.005228447621481437 -0.01221212926035189 
16 16 16 | 0.1237465504558326 -0.048910400411680786 0.009264196672427042 -0.009353208982726584 -0.00837920516136838 0.007631615888880458 -0.011099373984930013 -0.010653837352901338 -0.023456814286481654 
17 17 17 | 0.1239490389151574 -0.011272060962917016 0.026720147075497698 -0.04107978837918374 0.025363267562787842 0.003782846124685459 -0.008889010830527426 -0.0024399317253703755 -0.004278743857860771 
18 18 18 | 0.1175381175258905 -0.016410989508621396 -0.029298206553192218 -0.033528728280496994 -0.00034573686818808986 -0.012176572959264607 -0.020072365630819485 0.0008901322868229272 -0.0038444688621771697 
19 19 19 | -0.7601828142218849 0.0187680923117641 0.013916207867782384 -0.0026704378911590354 0.07274132031501525 0.07430169386905827 0.13634842744132686 -0.1550491384819351 0.013458995857974209 
20 20 20 | 0.9554478571782266 -0.007384545182972088 0.05714387588742202 0.018250391520059635 0.050220143926593325 0.021539370453175832 0.16107362093308752 -0.1106459737810776 0.017247447103878086 
21 21 21 | -0.8250304219395446 -0.011520445417816045 0.03752158982616179 0.05112039285366785 0.11530746356829781 -0.021853178218621202 0.10627532849452115 -0.06806153595001768 0.025149045931509014 
22 22 22 | -0.8041065518887187 0.009299592438872814 0.058487355012791814 -0.025397384356038444 0.014953791844400073 0.036979963033879654 0.15503242840497258 -0.0677678901189547 -0.06177283611708847 
23 23 23 | 0.16856104729781618 -0.03290432197737108 -0.007359807673608044 -0.016341417561774898 -0.002371886467122911 -0.017520979882606227 -0.008406464608698743 -0.0071876156870908205 -0.009656108834371551 
24 24 24 | 0.16792045003704958 0.002893732035534851 -0.002377621988819643 0.03733179575653337 0.010078928712991451 0.0032335609952003864 -0.0037209013040315707 0.004646387152124322 0.020718083023289577 
25 25 25 | 0.16444299324329992 0.029050541293028326 0.009616371487419055 -0.021025119060675373 -0.009487712386730985 0.008872084197966605 0.020103432886722308 0.003934392380763021 -0.005377731466538615 
