number of atoms: 17
number of fields: 9
Multipoles
---
0 0 0 | -1.0105632002396376 -0.03054413643046925 -0.033290502361241606 0.06618796776403227 0.3169579784568186 -0.26101183772817366 -0.10053455842740945 0.24686670150702006 0.1425314850401433 
1 1 1 | 1.0282033141867384 -0.002353528874807027 -0.04189502211389443 0.03208834766549709 0.07319212250308495 -0.14326020324791103 -0.0334300353791842 0.007191251480213582 0.0011849635678592573 
2 2 2 | -0.7308361645933381 0.06043975236647851 -0.09031626093537459 0.13051565330583248 0.05856032898415908 -0.09536239929256113 0.07513074160039047 -0.13064808399896402 -0.08507552167006383 
3 3 3 | -0.8526357506347146 0.02749233885687674 -0.03501292439383883 0.08445718064658993 -0.0007286258736295671 -0.10179718081533703 -0.06130711306166122 -0.0257652242719106 -0.08251586249172801 
4 4 4 | 0.2018302713412875 0.03004573835906808 -0.013417719115961457 0.00543952013359949 -0.016387645385021722 8.717817966114681e-05 0.029922525995848225 0.013786563554500902 0.0005028071755203748 
5 5 5 | 0.1996476836355513 -0.00306574641783401 0.025500482056243022 0.01766173801708781 0.02038490531625032 0.0024995846783114 -0.001255725280711988 -0.025436204217257844 0.005982930232011816 
6 6 6 | 0.17769436525956606 -0.022356341309202856 -0.020556259167083993 -0.000745466034289476 0.001535483385025759 -0.01673751674033804 -0.034509656417016664 0.022854919266823776 -0.009649765801292476 
7 7 7 | -0.3079389387835363 0.08439647810671812 0.007176094791247138 0.023712241984405844 0.07299990770999457 -0.05760014436086794 0.10243889377810715 0.046781472948614275 0.14198453549088588 
8 8 8 | -0.5961834912289481 -0.1698760067826663 -0.04873613077594707 -0.009539349451337335 -0.1911571163237993 -0.07636697965423428 -0.06910466190275891 0.0968843795926256 0.03709062915679043 
9 9 9 | 0.851058943360993 -0.015760060963141854 -0.02552583648575504 0.059414487198477174 -0.008828528623203312 -0.14654136161749545 0.06111936307419953 0.09201128776004204 0.1250705687938873 
10 10 10 | -0.8718811293418742 0.012503670317706148 0.0022473368917062717 -0.022251658734598254 0.029320720496367407 -0.06478803684442826 -0.016057474794124435 0.07274578224241095 0.058055325781743036 
11 11 11 | -0.7455857042406535 -0.05839925449989014 0.04273894931368371 -0.09929576573840938 -0.027656010144829317 -0.14462392200059973 0.2365869248227863 -0.008247834946445848 0.07464603683776543 
12 12 12 | 0.13413850718843046 -0.025542695334028868 0.03496221757723982 0.004354519399108905 0.030619372124173476 0.02093743926190071 0.002968668944459122 -0.014521853457233308 0.019467466871798286 
13 13 13 | 0.13104026572104976 -0.006420572714553536 -0.02922481348065599 -0.03207835372243513 0.030400942362049155 0.004297825667321359 0.008528106604146764 0.014408683972944484 -0.006220335882109722 
14 14 14 | 0.09623821567224855 -0.017127792241726503 0.027217562823985946 -0.029436586548557544 -0.0034862079402864033 -0.032815075820180374 0.029599042803855277 -0.002028289634681712 0.029083283388474778 
15 15 15 | 0.14457486100039962 -0.0030918930708356837 -0.042264004010412005 -0.0040417648972863075 -0.0019237837816766256 0.03185255477761245 0.007245172036418343 -0.01320486400223606 0.00405638001705038 
16 16 16 | 0.14995794006810315 -0.015659014813012163 0.01574735307734229 0.03443777141375576 0.02292592902998144 -0.011222647436577611 -0.003892502676709798 0.024506849293661002 -0.015692179514972242 
