number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.12106155386742667 -0.0821579470674161 -0.022896665548410557 -0.00963443845716015 -0.03538766775975121 -0.06573161475912123 -0.03693880629617183 0.043414456565638235 0.06920594028065542 
1 1 1 | -0.4479713265071412 0.032061344785343726 -0.01867876988849804 0.0676886028284919 -0.03627801339732791 0.02962538732961737 -0.0857210376713523 0.059309188195442814 0.013544386677843238 
2 2 2 | -0.4364985023386696 0.030078613844014914 0.04334691178182867 -0.06277718452382786 -0.007357106742026419 -0.08848261798722076 0.06189116535315766 -0.004794872896391526 0.04338342813044053 
3 3 3 | 0.10858510151698708 0.03710445883135205 -0.03483426110280278 -0.018742917680731743 -0.008859329782182975 0.005366226934069107 0.007244168058905037 -0.004055841098963806 -0.0130577195416161 
4 4 4 | 0.09725064565327446 0.002440794226597203 0.042474921352378736 0.029365687448321166 -0.0019883800134668644 -0.010054619902604072 -0.00494667551313204 -0.011707003092861564 -0.02188913468886473 
5 5 5 | 0.13950477571082576 -0.010601282488264176 -0.04620434526040378 -0.005165640475685917 0.00010605325308140213 -0.012133454210333188 -0.0008508666645817505 -0.00563372318691861 -0.016118680846142215 
6 6 6 | 0.13130326596035724 0.03309164371519791 0.004212625380672591 0.03544332945331012 0.006361626434339427 0.007616297657871269 -0.011300397917270624 0.009631117735202048 0.0009725827776407493 
7 7 7 | 0.13133493807135188 -0.03690602045719407 0.02853568815530787 0.00180577172232785 -0.016646624313156704 0.009727583261517578 0.0019767693404854434 0.0014943263396436394 -0.009597932880293248 
8 8 8 | 0.13376254321113656 0.03505991966190742 0.02285658057016828 -0.023741700390740916 0.005400836709789767 -0.005008090790434736 0.013916353478930388 0.0004366645694382269 0.006380371271185203 
9 9 9 | 0.1325113476422185 -0.03226926270892316 0.024808402776890757 0.02274529957000941 -0.011297512283580906 0.007798443474382202 0.010280024722339319 -0.010122317501797496 -0.0036500737171542867 
10 10 10 | 0.1318949185977094 -0.0006924132376737322 -0.04166741414338338 -0.022971247843607528 0.0021991397092640135 -0.001529887398570173 -0.010915804388289865 -0.009852962562516429 -0.011565949265626693 
11 11 11 | -0.45950180275248 -0.024862731666458512 -0.05261129242135446 -0.041438357881939995 0.012243822820011546 -0.03889646745450669 -0.038557639255611 -0.08373062870146117 -0.05770354955625644 
12 12 12 | -0.280310500029775 0.0030344760296115085 0.02024847648366573 0.0020124445880820847 0.002564308791876904 0.0804829733349763 -0.07013053967818396 -0.15493614145056903 -0.08227283039199255 
13 13 13 | 0.39191337711386254 -0.07431735357953431 -0.09508735484175947 -0.056978484253835185 -0.08292590925141456 0.16332231930086025 -0.056608442931409785 -0.10574097959507811 0.014215566226411314 
14 14 14 | -0.1574482971281297 -0.00018660154272925073 -0.016996255777598147 -0.009445437865878804 -0.09781185828265485 -0.008131725947070836 -0.14290115312062016 -0.0812133471544707 -0.09969667401261875 
15 15 15 | 0.08464709116180824 0.012858847960696453 0.038437394783768314 0.013609098424157919 -0.11109537114772564 0.10423180638183344 -0.14013614611032765 -0.12449975454465598 -0.0723191081110786 
16 16 16 | -0.34677810113328267 0.04255621682887547 0.034770893088020775 0.023413481435961458 -0.05430810344368494 -0.06268162071973882 -0.15118342559942738 -0.11779486848577289 -0.1191747757746268 
17 17 17 | -0.1329816221148059 -0.01251481432162906 -0.025851062729977087 -0.02023517432594664 -0.0025545211233965765 0.052469130677229636 -0.08830519424585 -0.14946913142186571 -0.099278486330221 
18 18 18 | -0.5839940265134942 -0.03568630475514578 0.1084173303188462 0.008210511527549974 -0.024233752722009793 -0.05754987557663965 0.023949112670505195 0.113778456732751 0.021975375122645295 
19 19 19 | 0.16837054325079603 -0.0463467934252049 0.0013640984428119046 -0.022364108886268077 -0.0038885932631285403 -0.005177795036602307 0.0036417318273921553 0.01592692409123848 0.00857283157596589 
20 20 20 | 0.1453700536663819 -0.02902921725513825 0.04485452137224384 0.0015990040527377883 0.008263733358118105 0.011847435820725645 0.0142074535069161 0.0024199873376689073 0.007263404193417359 
21 21 21 | 0.1538592322015514 0.035215036965062695 -0.03449534706395161 0.003862885177672314 0.012658797803197544 0.005090540711957844 0.011189598562254216 -0.0033816769476171966 0.002740051486957244 
22 22 22 | 0.43973753025586093 0.009349368175902137 -0.021284973740197784 9.82197176954153e-05 0.0023285936538269365 0.008299461571164127 0.010876460603799567 0.00818200574842661 0.00827050699480124 
23 23 23 | 0.14271511344668253 0.02742736579291586 -0.024786126370046364 0.029209715413069184 -0.011528662473090869 0.006911500116510361 -0.010626601461021675 0.006128058732977532 0.006001955331659267 
24 24 24 | 0.1447792276745401 -0.040184944220898314 0.009486200034488 0.025019896313335614 2.8705639693174293e-05 0.015855970660086764 0.008149712887030067 -0.0018817871817594486 -0.003612168208306557 
25 25 25 | 0.13756662633543626 0.0500077104107745 -0.0024871382104305058 0.01928886096839895 -0.008419312619111658 -0.004996181412824707 -0.0004162178394820946 0.018477694833089035 0.00805840737259286 
26 26 26 | 0.14946822508830737 0.018182419400942854 0.027662037676476594 -0.035473761309046725 -0.0019062749148159252 -0.002456530680459939 0.006477474063232698 -0.006713749390830695 0.01316610100084089 
