number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.1902544179711132 0.10071621570096069 0.029480363541546508 0.096103895126614 0.06252564352998634 0.015296304648576734 0.15430240006176543 -0.029657547610760438 0.11820651792629548 
1 1 1 | 0.9394099701584135 0.020680586147261558 0.013967429299165012 -0.016564336766726674 0.06696216298829696 -0.06668795580014543 -0.06070313252331141 -0.009825938614588478 0.06692302316332986 
2 2 2 | -0.5928230948684714 -0.06600187284546066 -0.08114489874187547 -0.11750421013585698 0.010506612846063423 -0.04868179405944637 -0.026664021946410144 0.003109476854389099 -0.012885312213704972 
3 3 3 | -0.8927229550313349 0.025450824782474422 -0.0003183401778023012 -0.02967249987428105 -0.02721327500843069 0.01758364459049945 0.0017104883392876694 0.0017679635838983047 -0.03653512678273637 
4 4 4 | -0.9324114554916996 0.05713141319364314 -0.005024174531462097 -0.015421039414413988 0.02164158135069209 -0.003495815014851454 0.05371590290422798 -0.012275450321565478 -0.015119561107838455 
5 5 5 | 0.3960374184582043 0.00436831910790613 -0.026973508059196516 0.02392190126388822 -0.004349844861187673 0.014773600099034086 0.010455935611230227 0.009302268277121484 0.0010535897052768612 
6 6 6 | 0.4548409463253662 -0.012478626537387063 -0.007900736089723134 -0.02559878153895803 -0.010475494266930275 0.004881113006841948 0.003238922267093202 0.0010925351370675773 -0.012062188276025195 
7 7 7 | 0.4511926110263593 0.012006992737501773 0.026230971371515976 -0.004680683216687882 -0.007258611466638513 0.0029128327491612168 0.009082605971019815 -0.007051467875727087 -0.006884026399596879 
8 8 8 | 0.44439818792742125 0.012169004182072915 -0.01586115560471375 0.02121112388848412 -0.0011823566737454204 0.009485007341219865 0.013576444189289768 0.002906049000840455 0.003027550353828286 
9 9 9 | 0.45604451875382446 0.016289035881042798 0.023614737533673023 -0.0008844422178167152 -0.0030190530166033947 0.0047330887521154046 0.01308569417736732 -0.006469965496232716 -0.003977375031631997 
10 10 10 | 0.1595563793861643 0.03133521257876781 -0.013242751935153334 -0.055214881470030855 0.011320055803781055 0.007886005852307162 0.01251579476395836 -0.011424663996023524 0.015066389212813511 
11 11 11 | 0.12059314021948253 -0.05187966312266517 0.03503362545862159 -0.004411698084654097 0.004995460559978572 0.0025174654343230545 0.02014428172392768 -0.004778975758025298 0.021946932198610623 
12 12 12 | 0.18486074410941467 -0.022290573687456988 -0.06062339521766356 0.00993346593863795 -0.0022156581049852324 0.009899590074934952 0.019796449949087382 -0.002700542001229759 0.0064027329086595 
13 13 13 | -0.19165821623907053 0.04806881831777031 -0.09714324435422134 0.08927965135112814 -0.034089732603954946 -0.1236931869782834 0.044448645572374615 -0.05551477744613436 -0.14071938883874555 
14 14 14 | 0.9377953075881953 0.0054117342093949845 0.020612590420401446 0.026506539733419196 -0.014832144377436686 -0.06544318736136379 -0.08646666851942951 -0.0625130920839909 0.044252108786561065 
15 15 15 | -0.5895070185320082 -0.10444642610181042 0.09128948638953692 -0.07390738123763865 -0.001858741889774562 0.012935715708132709 -0.04796402964050006 -0.008562714648718312 0.020675763429139463 
16 16 16 | -0.8877599493240149 -0.02347563503217113 0.03267620099291243 0.039425337579155985 -0.019940972879024976 0.02491548966968159 0.006988126006068951 0.016971425657417355 0.006827642904336031 
17 17 17 | -0.931407397439961 -0.018930718106725093 0.009175208033870976 0.05462368078264233 -0.04838293413278058 0.006430262350751447 0.015490410651199117 0.0031342357659306565 -0.027102195563867348 
18 18 18 | 0.40471760667338885 -0.020506413659475038 -0.030409474359675583 0.0015402444074155077 0.006723976506721492 0.003092936111620292 0.01763581100454928 -0.0003493213170843965 -0.005416945878198367 
19 19 19 | 0.4496667722196368 -0.012306885025165634 0.020835780393047808 -0.0165797214735893 -0.0003959102999254011 0.01198878144502908 0.006937009501305847 0.010639576892633023 -0.0016136865630252137 
20 20 20 | 0.44029721130624033 0.021600136800946267 0.011964113422045215 0.015997951156946993 -0.00788270415303468 0.005196902269325054 0.005840561608995893 0.009433675951876266 -0.009193317919390995 
21 21 21 | 0.4520043342529694 -0.010350680629809443 -0.025756079462671146 0.008230544231947698 0.0010322456443750923 -0.0006821921740093352 0.012816112046134975 -0.0007976481065646166 -0.008567957311661534 
22 22 22 | 0.44514330856682804 0.01979432756627032 0.00638730765994974 0.01977445772884252 -0.008366338770383812 0.0002737034909808892 0.008916013762745366 0.006835929173615787 -0.011207438435952169 
23 23 23 | 0.11864271777905011 0.02966002704434449 0.014791497614421497 -0.05248494964460353 -0.0018614905149964397 -0.02168754546228236 0.011631551189408 -0.0030265750207595383 -0.02197881736336546 
24 24 24 | 0.156639850167118 -0.02834616217640522 0.0453206117500904 0.03717704933999619 -0.008914169211343803 -0.01847324420023745 0.00823987407957722 -0.009655269453195798 -0.01176870009688938 
25 25 25 | 0.1947098612190249 -0.056099832515879335 -0.022349584575831846 -0.02598595209540982 -0.0004520173753482993 -0.005866080422395719 0.012967665545675851 0.001880459840073115 -0.01598495336296067 
