number of atoms: 34
number of fields: 9
Multipoles
---
0 0 0 | -0.47020409639072724 -0.0034167144917681917 0.05575996194844508 -0.036292513038629994 0.0624574268859689 -0.013022130007466291 0.05495747101204187 -0.019887082498656082 0.07380803706937822 
1 1 1 | -0.21634357170766094 -0.0033175027702536924 0.0020870994438464937 -0.026172092135661955 0.14980574392760898 0.04758042432579044 0.08346745178468837 -0.12464016006489599 -0.011679689460670026 
2 2 2 | 0.1424136561445346 -0.012537824608324323 -0.02921685486962345 0.021392713259263098 0.159925630817331 0.07190190402656817 0.1850189626071098 -0.017955723864134115 -0.04944801008757908 
3 3 3 | -0.13362384008837136 -0.0022780723289182393 -0.03344563715981148 -0.01953810820859407 0.14894453386349704 -0.025842395318315767 0.13238438653892373 0.026676221724850162 0.09923978839738087 
4 4 4 | -0.1620720799700237 -0.014610741288194541 -0.029089566442798222 0.015422202135980912 0.12525233207899739 0.07374820074861198 0.15779061414189477 0.016424393983908374 -0.07752498570362418 
5 5 5 | -0.1965086836788119 0.0009549699080598717 0.01992348525951925 -0.0014689685723141964 0.1465070515068903 0.003288003124058119 0.16959481517572644 0.029233995923350367 0.08345680516872606 
6 6 6 | -0.12214971283782639 -0.018360844640027837 -0.003605654923830072 0.02950223358293557 0.1620024473621166 0.04882825189869909 0.09161870837095927 -0.13045865039084356 0.031741149071460605 
7 7 7 | 0.15786815846872004 -0.02821235993477944 -2.6706717860700352e-05 0.047577294842625954 -0.012501281996752517 -0.005002807637242059 -0.005943348541445071 0.009183498363770495 -0.002881286860311366 
8 8 8 | 0.1426058995090702 -0.02000164011162623 0.04846105173462031 0.02162966843161873 -0.008847732203033438 0.0003570618822655367 -0.011690486288505506 -0.005327034249292172 -0.01000603934874743 
9 9 9 | 0.14859267081928762 0.033939051221545564 0.009381765895216276 0.03394687492505891 0.0007299001504491037 0.0055813310283694476 -0.006524522006088847 0.013576169835130198 0.00429841902412279 
10 10 10 | 0.14813411322467285 0.014813503328692884 -0.028273076324374202 -0.033068200558188945 0.0016384744310309234 0.007971537740311774 0.0040950703142422 0.0010200713449385202 -0.016594201418222113 
11 11 11 | 0.13854110601015757 0.0061615451960340024 0.04645129049946143 -0.02869391858253194 -0.007332483423142448 -0.007784563420754527 -0.012372270370801203 -0.0037129274416683607 0.010505638048534756 
12 12 12 | 0.13674434520718137 0.018075931501930674 -0.04187823823099409 -0.023607319824829213 -0.006594681322642361 0.004199081832343046 -0.012080579620471337 -0.011063748725618595 -0.011481409952984412 
13 13 13 | 0.1325979746636039 0.023807531354826182 -0.0008125678665395889 -0.04985009594562965 -0.011421029833377873 -0.004894531903621788 -0.0024475498083346976 0.015270264180513684 -0.0031971946213999727 
14 14 14 | 0.15174442926015608 -0.04745784225950395 -0.003673706377373411 0.00945325639245814 -0.008238336965950423 -0.006960484965441865 0.0073217482144262575 0.008419329969017555 -0.00215648321775841 
15 15 15 | -0.42002635462866245 0.04006780435837367 -0.06735369617922415 -0.04556100673278597 -0.017114417904144575 0.0910995208262997 0.03811579910332257 -0.02995900725789335 -0.04469525837532724 
