number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.47866878894727893 -0.00578431028138367 0.061711131618096035 0.017798179013781067 0.03854457790567367 -0.0028748538492711097 -0.05025694143726705 -0.09310603846881592 -0.03480024318062206 
1 1 1 | -0.16121573870257144 0.0067684127102879766 -0.03225081141035574 -0.016001835784762886 -0.06728601396305386 0.02318271380138745 -0.2189378587795949 -0.01557700912386379 -0.0545336420091581 
2 2 2 | -0.1329687404398534 0.036290906834309196 -0.015844561645748403 0.008678845126418583 0.04542370387433115 -0.008583673386345062 -0.13823009921816634 -0.1319489885438513 -0.13367359312897412 
3 3 3 | -0.13151107322750288 -0.017810762586626103 -0.020786704449514484 -0.023296275211407123 0.025988844614802945 0.12178499912329491 -0.12593301177683278 -0.1483077969113106 -0.0058329960903043725 
4 4 4 | -0.2040007185639423 0.006780808074754254 0.011947676107031837 0.00768604011280752 -0.0006791716104528699 0.12662687053672086 -0.14421212555116408 -0.11205831711006257 -0.0017565698330337487 
5 5 5 | -0.20614786281848474 -0.011363548264813502 0.016328389305405432 -0.0007174013357079226 0.041534438694710525 -0.017077385669940822 -0.15340596970087936 -0.10870684483550049 -0.11480632382612373 
6 6 6 | 0.15087610388818984 0.0051799994108126446 -0.03414149682172905 -0.004717846052654722 -0.026640265675418797 0.03189875759966607 -0.24799123331264236 -0.06729691225481498 -0.04775046093026867 
7 7 7 | 0.14124273700839973 -0.007922904991358377 0.05450817463750252 0.003282006721421008 0.0035343096951964623 -0.0057146346544062875 0.015266921235169751 -0.0007576217817537296 -0.002742494190252879 
8 8 8 | 0.145142266880524 -0.04034388778146332 0.028942751944772697 -0.028171337015624433 -0.003609977962199562 0.005325534615106741 0.008327467411499784 0.00641566653744802 0.009054080703750899 
9 9 9 | 0.13279768764567745 0.035734469862291555 0.026952118481931218 0.032184268840368194 -0.0022591595760777143 -0.01334915936669993 0.006086644399932286 0.01248976160109948 -0.004300951042480844 
10 10 10 | 0.14295084287870574 -0.03209398703795514 -0.024324090487941437 -0.032014940889437585 -0.002520051873692611 -0.015817802703716344 0.006545349174598367 0.012819746818348111 -0.006616663996455959 
11 11 11 | 0.13916390139548218 0.03900479344829475 -0.022069215373353483 0.025386628026992535 -0.005197556556619284 0.011159010555421506 0.008491954959804161 0.0069292350273363855 0.013353944988815704 
12 12 12 | 0.145469020608043 0.0400072907353826 -0.005023916947750599 0.020642277314828684 -0.010326511480291557 0.007429619811568289 -0.011699769038503954 0.006421465752798575 0.006954207227354865 
13 13 13 | 0.15121416977334412 0.006483984002968478 0.005514583420603251 -0.047674969204578664 0.002471051194832044 -0.002796020023121542 -0.0016167217720610754 0.010847998225237299 -0.012578347524044084 
14 14 14 | 0.15394778931340336 -0.03942709080899866 -0.01612366512928011 0.022444391792978368 -0.0032333591919812103 -0.014739662220419588 -0.00029582728198028696 0.001787592225437978 0.005378157792064185 
15 15 15 | 0.13271706389276972 -0.05871100360930806 -0.06285819903471064 -0.1427228244357841 0.020302113099526974 -0.009668601137505825 -0.007173833233133482 0.025696465002460797 0.1786502738504922 
16 16 16 | -0.5010764233023828 -0.018048939435746855 -0.05285173327777775 0.013255437839122242 0.018096701232361026 0.013728450446638372 0.005158031509987912 0.04966071046113197 0.09159092716434954 
17 17 17 | -0.6036819249007337 0.09729991078864694 0.08851437468347104 -0.05089991150556144 -0.05657115645110658 0.15471075543784363 -0.09243967734226718 0.060070132752895466 -0.04298158730903949 
18 18 18 | 0.053544599340278554 0.0608433491066903 -0.019701142017491628 0.0009778784484741508 -0.01537667272876249 0.015885891675275557 -0.005716279069461451 0.010311644806910755 0.008539858560953567 
19 19 19 | 0.056207197999634584 -0.03983848277176732 0.03201923086503976 0.04320546192383949 0.0005133180186167039 0.012569822514371524 0.012184785783077025 0.018793072957735732 0.0002959979377380378 
20 20 20 | 0.145852803064766 0.031567260839882545 0.024959252760319003 0.02396044057859295 -0.004476652118306594 -0.008353012964383583 -0.0029098447796732864 -0.004264658921179973 -0.011270774198784125 
21 21 21 | 0.4156394851207843 -0.014081086748994446 -0.012898682026698943 0.015503577349467909 -0.008725741136590142 0.01238343754888558 -0.0003724779708366797 -0.00409586248292384 0.010559941542877484 
22 22 22 | 0.15113488466153358 -0.044695965416310615 0.013587788322638692 -0.0029004375592954056 -0.007841626220778912 0.011467447541727922 -0.00942439355121144 -0.0012440504917255735 -0.00423624192246992 
23 23 23 | 0.15924001380714126 0.01676719712314808 -0.02362328806792253 -0.03670152637084154 -0.0014848678217436768 0.00028863196036181787 0.0057600105049857644 0.01422453250121857 -0.01054447785815613 
