number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.38043336683210516 0.0723928352830893 0.060243834800794045 0.05584644140439859 -0.040150444891016386 -0.10441092106027236 -0.08412457863428772 -0.008573250597048833 -0.05785391328957432 
1 1 1 | -0.3761124373096152 -0.0703812628827151 -0.05737765985875933 -0.049208670207190414 -0.012426644601618601 -0.07376180980591908 -0.0646087706252094 -0.005728916209230063 -0.05910802892194969 
2 2 2 | 0.1251049721494123 -0.039707841022033924 0.02638695388641305 0.01796966476677897 -0.01381219415173446 0.006663224396292449 0.003741838507250485 0.0011062370138956445 0.006740403916317794 
3 3 3 | 0.13151366699493328 0.019664753083410234 0.008598587375095057 -0.04711293339463466 0.00652151376310356 0.007237192805788489 0.002283661824214273 0.008733407625326282 0.00397146618845923 
4 4 4 | 0.11949787185271454 0.015198678703025444 -0.04302915211771291 0.02190370414063756 0.007429616161799308 -0.00015241186084555435 0.008378281480641365 -0.0114167227830849 0.0069896771442266754 
5 5 5 | 0.1260349162366179 0.03930650590248969 -0.02777338272580402 -0.01628732478389691 -0.013358042312989945 0.009488628011442577 0.004916532380606446 0.000903227413655498 0.007764632002712419 
6 6 6 | 0.12698872200858147 -0.019362941393888923 -0.009610500583371925 0.04631472552269322 0.009696028443142964 0.009203844741822346 0.00392751025554157 0.011502314431413673 0.0006521447382980864 
7 7 7 | 0.12716935216486536 -0.011589050327100676 0.0423998325178069 -0.026727804851044378 0.00850598925669795 0.0018540954696789594 0.009291393713926743 -0.012036432425111591 0.006102779539584375 
8 8 8 | -0.47798022351971703 0.05412111226107905 -0.02409607417598605 -0.026412362929606102 -0.07325674330434724 0.01566550366360571 0.068905070388352 0.05845007231241223 -0.034184690693148195 
9 9 9 | -0.20905585448456776 0.00653961160965947 -0.009754641415673069 -0.015416987815248211 -0.1877424083310776 0.02212431636184552 -0.03944109704692446 0.09214988729384214 -0.07379642744068819 
10 10 10 | 0.1519674239763571 -0.029416614303661173 0.00529690903632461 0.018138447790751633 -0.09506599114377307 -0.00017933781689198817 -0.08033566957924114 0.17948487488911707 -0.14902625129594418 
11 11 11 | -0.12918726872850428 -0.030082825222095256 -0.0026109313857039214 -0.011985563464445636 -0.04724319887873863 0.04602566329754204 0.07856146234186202 0.15270254780534556 -0.1389865368818798 
12 12 12 | -0.15861241348077737 -0.02868541222528093 0.008224611364076088 0.01498718128836194 -0.05415658115318327 -0.020291974653553636 -0.10014920425313807 0.15494914643988966 -0.12439193049820471 
13 13 13 | -0.20277939299233338 0.014553435365279333 -0.004768057531700403 0.001764734033685249 -0.04113384435468694 0.054843643159528915 0.04347573474838401 0.1593660160372762 -0.14385531534761864 
14 14 14 | -0.12411927097672226 0.00011201260654717408 0.012860470047011284 0.03314471982879852 -0.19660947720910482 0.030955395501392115 0.004174508433497984 0.09049512722295017 -0.07750155391809306 
15 15 15 | 0.14881731771047346 0.0020472897168104585 0.019383011478176608 0.04927333865833035 0.017480614430853896 -0.0015168883860148079 -0.0011146329152384614 0.0015429814226717998 0.00645914661962952 
16 16 16 | 0.13651395998971505 0.04943583372935128 0.0051514708210244845 0.024271415968111394 -0.00028131899249956465 -0.00512953861074542 -0.010889218553104391 -0.010820046246852929 0.010430555391122708 
17 17 17 | 0.14563529838446043 -0.021084756720706154 0.015725078549343977 -0.038956043887116695 -0.005530523749251927 3.0188377956846562e-05 -0.01775796317371117 0.002697042595276619 0.0022323380288955916 
18 18 18 | 0.14978820853485497 0.019316625670044853 0.03959546683637031 0.019213658601283556 0.012082344124835241 0.0003883251782202871 -0.002376701429594333 0.00244233028139464 -0.010657473641314369 
19 19 19 | 0.13738405103335094 0.04615220133769177 -0.013901808517454298 -0.02561826586447179 0.001485904588497765 0.0034319220209874067 0.013053947293960347 -0.011459970996369952 0.009172152898649396 
20 20 20 | 0.14221751101950864 -0.04440232355888183 -0.007908445839857465 -0.02503257008787593 -0.004581968170962249 -0.002820629495202733 -0.011678042947762316 -0.012865591799824452 0.010551054908493084 
21 21 21 | 0.13245006602512033 -0.001230680335532298 -0.020741091570988027 -0.0513248985560187 0.01938482776237279 -0.0027412400036463825 -0.0004105267214190921 -0.002470487607565534 0.002712817194679685 
22 22 22 | 0.15554470301466106 -0.01261403537268334 -0.03979154758264342 0.02377471534697161 0.003780574267106694 -0.012577678242132575 0.0017850325949058867 0.003364351630498484 0.00746003522405018 
