number of atoms: 25
number of fields: 9
Multipoles
---
0 0 0 | 0.13253544834649578 -0.03921072550679039 -0.03727919997190911 0.1432614276059631 -0.012742812985399551 -0.026988812052304065 0.01878494625764303 -0.15748670507782941 0.020269563663239506 
1 1 1 | -0.5420926002063533 0.001119541600234327 0.03292930334296037 0.009454357740716075 0.035732428918343315 0.00809912757478016 0.03649848395458378 -0.07178011604368777 0.0026623792798352035 
2 2 2 | -0.6343349987589075 0.12026595823346022 -0.022062872803556042 -0.05419702189916244 0.13924971866407707 0.0709334045633045 -0.07933874105166548 -0.08254833881074419 0.06466528672482462 
3 3 3 | 0.0930339700141184 0.060959786568234475 0.010049797244849315 0.0063901778412449135 -0.01901191227267007 -0.0092623425398238 -0.01612868971788378 -0.012122217121806037 0.005412465372450411 
4 4 4 | 0.07754156010097257 -0.03889093524909337 0.02869115196585943 -0.0475833822044228 -0.010473364723094661 -0.0007320182599268832 -0.01165379628937735 -0.002721357916680019 0.01115335921874224 
5 5 5 | 0.1569229379533157 0.02232000781568955 0.0005161870865768378 -0.03818818925885372 -0.0003315950975163997 0.004342088797624198 0.00712291981493925 0.013065193864980396 -0.003794386112682234 
6 6 6 | 0.4242749714560723 -0.019926613758124868 -0.0066187217456254305 0.001686353329841157 -0.004182520784149279 0.0017386892719513025 -0.004399672912599885 -0.01735045343445418 0.010609194586124134 
7 7 7 | 0.14259366854154643 -0.04174765233505019 -0.010920147337602628 -0.004450584212741793 -0.01354676679653637 -0.010242823434959065 0.0037913719111421387 0.0061591794335581936 0.0018930191686891023 
8 8 8 | 0.15593735198541925 0.02492179641553835 -0.015355049875309355 0.034641544544340735 0.0007261637815496884 0.009976459421540672 -0.0009900132078591796 0.005569478064401355 0.015130939251736449 
9 9 9 | -0.46283030937388325 -0.049597381098617874 0.024543813121757026 0.04318199626778406 -0.014177594768194319 0.08967909805066536 0.03923939457940445 0.023998264486745004 -0.046860079093283116 
10 10 10 | -0.13268988443402474 -0.01846689782630195 0.014334942558124819 0.013240307191021594 0.012677819331210734 0.11118668578442402 0.006787788603798933 0.17766100271450638 -0.03665026397139358 
11 11 11 | 0.08436346229399838 0.02590231812191211 -0.018602806516784854 -0.027038844092030945 -0.022997687872277527 0.1702903521529987 -0.08747200266516762 0.16380217767540162 0.010699036873322802 
12 12 12 | -0.35820767419232613 0.05017775245253478 -0.01779790699522226 -0.014108149375313806 -0.08162028834057175 0.21242603126865145 0.03410728690800248 0.08355841265464688 -0.05624502349227639 
13 13 13 | 0.40211326381153967 -0.09400584261404155 0.0709415062675351 0.0634161847046461 0.03821261010479187 0.05567218653379115 -0.13032566290413342 0.15362196045749996 0.04920454311644234 
14 14 14 | -0.1558016738734187 -0.015154586465896014 0.008463889773180867 0.017737901451174983 -0.0717152370830011 0.18379209963950893 0.004911112807323378 0.09000678824498728 -0.016839988813387795 
15 15 15 | -0.28634818618204694 0.00829201202418065 -0.003039595383676594 -0.02287261444488188 0.026442503938657897 0.10536589981856918 -0.006041379219437227 0.15815829902504847 -0.028223395247030925 
16 16 16 | -0.5965188710735774 0.006645990145260632 -0.007917526618387603 -0.11467859639692736 -0.054913825639426914 -0.027593141117312477 -0.0003009336002871198 -0.12394989140941 0.01681497115485567 
17 17 17 | 0.136634567216544 0.044983695101346546 -0.02191824163194971 0.018766281290463524 -0.007275071859544072 -0.004733168380365872 -0.008499262188519372 -0.01478124812925306 0.011539076582769705 
18 18 18 | 0.16223152690783837 0.016514267745877758 -0.006270007015254625 0.04576194890011004 0.008855803326653398 -0.008151506059878886 0.0011599167998561967 0.0017558219444690664 -0.005714204881653992 
19 19 19 | 0.14560258040741048 0.038611037651881876 0.024390900541015788 0.01674011924135193 -0.01511987705958245 -0.0008261433203879177 -0.007534487577259347 -0.001328339740749263 0.005736367010125052 
20 20 20 | 0.143777834485737 -0.013511541884138126 0.023271830700807003 -0.03776906110522466 0.007880994936548804 -0.0021093781159102756 -0.010971365699602113 0.012147314772885429 0.007336240236592931 
21 21 21 | 0.14150255888887187 -0.009973326865998184 0.0039017095516602172 -0.05198279493030172 0.011182797136240158 -0.017077620281594413 -0.00088254289221842 0.004221762239351435 0.0010645838730836876 
22 22 22 | 0.4492698063032533 0.0016493644754328567 0.0003886819247257528 0.022547630001752108 0.004934238140414573 -0.013338420464505287 -0.007112503942923311 -0.0034090761160463267 0.005464528843829004 
23 23 23 | 0.1689153952507343 -0.04108360781412218 0.023781291511214497 -0.017526674360596853 -0.007425004222897513 -0.0035709675761414978 -0.006141668253711332 -0.01479663461938524 0.006726294694280106 
24 24 24 | 0.14936086359074252 -0.009899951555647362 -0.04709015440632375 0.005084826111969251 0.0061166204417536915 0.0025555135393654244 -0.008422520271127684 -0.012342336779730002 -0.0008214006836417936 
