number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.37485242030973875 -0.024625302354192413 0.026177062555164627 -0.09432946750375519 0.05061422350658728 0.01968161221281255 -0.04151820717142348 0.11131734420881666 0.03641618547215883 
1 1 1 | -0.38416911644941454 0.01221530951021922 -0.025729810802842135 0.09648669723988629 0.052856190608722514 0.014712541598359573 -0.04487177675491458 0.08240540102843878 0.05687806867886895 
2 2 2 | 0.12387008067026262 -0.048464637190187516 0.004733023059275392 0.013192540992931854 -0.004400534485132669 -0.0030566805735683248 0.017189352337392057 0.0011837117006115797 -0.005228064609637152 
3 3 3 | 0.129399369206181 0.016766572989224883 -0.04600129020329629 -0.011127158724069976 -0.00601845408555145 0.007237297928034123 -0.002287510802214334 -0.014764796045001303 -0.0037215363614497093 
4 4 4 | 0.12568420529700264 0.032587553521491175 0.0379778749138677 0.007526064662182272 -0.006347064403517576 -0.005312281854788176 -0.007464470732115072 -0.003644993736686383 -0.013515754808543988 
5 5 5 | 0.12536769369170286 0.04917789916973233 -0.005055174994061459 -0.010462711043102263 -0.005137247023225944 -0.0036542892562746016 0.018332573827407453 -0.00027309866995100753 -0.003042135500112003 
6 6 6 | 0.12893813238799134 -0.016275677931304803 0.0463880689562942 0.013226720659770846 -0.0033800426909864445 0.0072787930255783645 -0.0002587591738122252 -0.01591577366060021 0.004665497985927691 
7 7 7 | 0.1277748008147087 -0.028458499007735515 -0.04082554685742164 -0.009977361842215355 -0.007119409075059083 -0.006033837104179233 -0.007126670713044028 -0.003994215113610638 -0.013994351596463634 
8 8 8 | -0.3762835246483336 -0.017012427817455194 -0.08513018024546809 -0.04672586689359981 0.06344085480060825 -0.007494670323577552 -0.0027630992059167166 -0.024095842305383905 -0.10352592476809973 
9 9 9 | -0.38481464576921187 -0.00228992356732003 0.08026137179905267 0.06071692127144072 0.054284592347889606 -0.03131881449342509 -0.014713961749440103 -0.055639212104070725 -0.0885951764739789 
10 10 10 | 0.1216834088388078 -0.012474431216937386 -0.02136468892348099 0.043648722340090026 0.0006696408754702066 0.0047908634265352934 0.004526846117634584 0.017893585308962113 0.0017529990564237696 
11 11 11 | 0.1268373507255791 0.048487014295891806 0.0036340775693494477 -0.011234655896642793 -0.012208815116420512 -0.009544041386180088 -0.002131970757402797 0.0046709670796747085 0.0077011394044629805 
12 12 12 | 0.1269686932632229 -0.03278016195379235 0.025649403178270826 -0.02781970341535641 -0.002854397005584167 0.014534075522828092 0.0017983845096843994 -0.0038997104160990244 0.009728909796372804 
13 13 13 | 0.12755061866245976 0.032305800517256136 -0.02376855183004056 0.030303276135101167 -0.0006659359848537812 0.01223323548010848 0.002235504712118109 -0.006949895638815119 0.012921567197578249 
14 14 14 | 0.12360423388196096 0.022830414287540998 0.02682318087200879 -0.03666862400665516 0.00312854542354488 0.0026698364374011098 0.007399827347600586 0.016566501544712835 0.0027343746014761635 
15 15 15 | 0.13087890369124489 -0.04965521379620281 -0.0056323639057012645 0.00400506933110272 -0.01169364116146751 -0.00887305242080156 -0.004136063734902891 0.002491143333148274 0.008073150208642159 
