number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.4787989141596931 0.002344849323518934 0.03799415536545478 0.05120528628404586 0.05344255870369702 0.002019498919752056 0.039036754048129126 -0.025309891334132917 -0.0705388943525998 
1 1 1 | -0.20289952029713731 0.008122048917351441 0.01289620892496526 0.010142601505137544 0.09272632787482196 -0.06789984526879622 0.17164593316898155 0.0685527653860606 -0.04341964256765944 
2 2 2 | 0.1348956782625086 0.008319788142141337 -0.022301081183546123 -0.02628461209475767 0.09082048142812327 -0.1679804128487893 0.1748882194560119 -0.027456821862343106 -0.009082139950848807 
3 3 3 | -0.13584317698618076 0.017954717066344758 0.0046388233194517535 -0.030547225682431945 0.11481118644350372 -0.11028558759927413 0.08046523197395078 -0.08240500074175477 -0.12721712174961636 
4 4 4 | -0.1553501138133111 0.007512572768630171 -0.022422853190139563 -0.02815131409038727 0.06843447805900582 -0.1580534039634834 0.15196195545573263 -0.03943081339028749 0.03288069841760624 
5 5 5 | -0.18895577133989505 -0.007607809552708518 0.000571428821458925 0.01882929019098391 0.12331361089149838 -0.1289249011692398 0.08906953393203491 -0.07733305403005114 -0.11400498081674305 
6 6 6 | -0.13667419599234876 -0.010403233895300942 -0.03267459242592097 0.005963154395442414 0.10022968519582784 -0.047139755617754645 0.16819592524272656 0.06165605008485945 -0.09460811645123048 
7 7 7 | 0.14865932104243829 -0.022961580636418417 -0.04754522932037151 0.0024766097861539196 -0.005417196357465194 -0.0019510317743815298 -0.014686854284250025 -0.0121447566211111 0.007183466399709361 
8 8 8 | 0.1393752657768883 -0.032726397634745864 -0.013059273768460528 0.04374195957006542 -0.009663772804772187 0.006336986598415068 -0.0015923905643234018 0.009952458118952285 0.01175926230574933 
9 9 9 | 0.14815002211510397 0.022977738267930193 0.027526080395075075 -0.02802457389643474 -0.0030029422964014956 -0.00732632995335091 0.010339394575248243 0.0038762496211678294 0.013548511423481345 
10 10 10 | 0.15074774042443018 -0.046680831358235746 -0.003124148277954248 -0.010788979639593136 -0.005213709245323871 -0.007871592797160418 -0.011808335605719226 -0.003130422352329452 0.0007506791756269964 
11 11 11 | 0.1391988751401736 -0.007850838178091214 0.036039906737669346 0.04178413244433607 -0.0014907439852857491 0.013888987154245136 -0.01171361978281149 0.002982207861690074 -0.006968596551127395 
12 12 12 | 0.13754424375623908 0.03185226230175238 0.014117384321769089 -0.038742832520154195 -0.008088270487505347 0.009144471383758176 0.0015252270120244649 0.014322096163406425 0.009575917237215879 
13 13 13 | 0.13951384807572442 0.024668053719193898 0.05011860003765877 -0.0033552507862395792 -0.0066726377537728995 -0.00019635028265807894 -0.013421049229661657 -0.00965430697147174 0.007276755318639853 
14 14 14 | 0.15703147796079298 0.02512294195553296 -0.03476962282042374 0.02193675651443097 -0.0023060613809921656 0.004492512821368621 -0.0003377347929162327 -0.013707165373897805 0.006556908377851059 
15 15 15 | -0.38003678684118736 0.0273675524718446 0.10256988569967022 -0.005807736254885611 0.07109461178114844 -0.06000793103783361 0.0304486282983768 -0.09301812781937488 0.001739265679426007 
16 16 16 | -0.39568599370924673 -0.013836425816106087 -0.10412887970631474 0.01162838782098383 0.056911977615349614 -0.044299013154376524 0.00781887626324039 -0.09666989554810157 0.017142667950230155 
17 17 17 | 0.13755899911295422 0.047469657161239194 -0.015181713557499869 -0.017784004939463822 0.001994867673942255 0.005144917293662113 -9.492128746386308e-05 0.005210305800134086 -0.008576336435352135 
18 18 18 | 0.13010376513379862 0.0029127177266082657 0.0021636613534217176 0.05096763823967412 -0.0010795856704438546 -0.0008935118065231751 0.006589439862961339 0.01261472085896198 0.008188181139872186 
19 19 19 | 0.11880177927128266 -0.04304383684173028 0.0017010390093283713 -0.026080215141805953 -0.010245952774898025 -0.007150337311496577 -0.004294583943023364 0.008525130185858402 -0.00878133302225586 
20 20 20 | 0.14435552572120647 0.04396268698075176 -0.002560273234499312 0.02839834349568711 -0.00602634993639941 -0.005999693899277172 -0.001927952026600176 0.006176008676147062 -0.00661993492431336 
21 21 21 | 0.12376200039838592 -0.000520328707528164 -0.004870316791324934 -0.05030099633546116 0.0006159484182514797 0.00204845716076294 0.0037589450378432694 0.014280486357755218 0.012244080581952052 
22 22 22 | 0.1224858270707666 -0.04506132047220613 0.009297396959298642 0.021392104633054795 -0.002703631222757054 0.01733125217064154 0.002367666664549437 0.0016919336943402694 -0.009011607601552191 
