number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.4627536974469786 -0.006629930986920559 0.008132552125480126 -0.060181220711044314 0.03339266670346942 -0.019752734735808696 -0.06906368345705258 0.023477208590461228 0.012628788139818959 
1 1 1 | 0.37518802394329676 0.0008248436194978985 0.0020122636373154546 -0.1461291677012822 0.11447080564690512 -0.059730467645753675 -0.026670630661196695 -0.1884451075081451 0.0007791765492592485 
2 2 2 | -0.3637090723980956 0.07860716416781162 0.0021919832585480556 0.03644544149313344 0.14447732506436015 -0.014117365954124314 -0.1840969332915457 0.07067512225160137 0.010448785767694879 
3 3 3 | -0.29757005871837006 0.05267157479294429 -0.027939491461937888 0.0020745081555921386 0.14101603229556248 -0.019236403859506947 -0.10038929748750262 -0.04061672750229503 0.07640687970693044 
4 4 4 | -0.1213837285962871 0.02140554805190185 0.0011676499205014103 -0.03920299997006243 0.15479085225895386 -0.020501536545747143 -0.10480477800998421 -0.048873063125115364 0.07560779976205165 
5 5 5 | -0.14506500268326672 0.023963472890427016 0.004076810050332403 -0.03505303277440101 0.14927028859637703 -0.05770840599867637 -0.15376785587422706 0.02161874148976995 -0.01903622834179304 
6 6 6 | 0.08962643412950477 0.028038819309962524 -0.01688802562481878 0.033456189704312994 0.19224985538067366 -0.07939961996808204 -0.14225972548733465 -0.0869601726783443 -0.006379291638472785 
7 7 7 | -0.5948234282495086 0.06917116066422692 -0.10577797537381622 0.044645704389590965 -0.0787774172673561 -0.01679843115097055 0.0074235829802258065 0.07105816132430218 -0.08040384722554905 
8 8 8 | 0.15617847936620977 0.015033889474764008 0.04857598147571204 -0.0028610637848280906 -0.006374403289529159 0.010657753715151982 0.006202904876593738 -0.003340077769657251 0.014979754656876027 
9 9 9 | 0.4379201243163372 0.0029749991023030665 0.021287643113866307 -0.009946615230317016 -0.010938472939199376 0.0006254253838682655 0.00970886004433506 -0.00979966319689263 -0.0026011102221279265 
10 10 10 | 0.17386243933196788 -0.012487045853674382 -0.037896413856586174 -0.03302471673777297 -0.011976203606827406 -0.0019559408618013995 0.002893596760427838 0.002867413913398762 -0.013665227784292808 
11 11 11 | 0.1533277203569583 0.022719252106916808 0.03734734991034471 0.035135824210358595 -0.011601522768574167 -0.0013124310532514818 0.006325951048469517 -0.0008521262172481368 -0.01591201327938606 
12 12 12 | 0.154577241797496 0.0012185314794726822 -0.053856405136056835 0.013806367512567865 -0.007202504086977991 0.0039876739150119115 0.010619141716895384 -0.007021574072756802 0.009539123067041766 
13 13 13 | 0.1554624626583594 -0.006590424477567276 -0.04650652543202345 -0.0004338214577430205 0.003269262755172558 -0.003903082992957695 0.004208559152167841 -0.016321533739534638 0.00014292315941601518 
14 14 14 | 0.1507687237253793 -0.032598984627491924 0.025717228829892996 0.025970590536277698 0.0011360947747734015 -0.0019525490887666393 0.00917184214004923 0.002337916288465252 -0.011500173440833603 
15 15 15 | 0.16436773867197596 0.04813359488883353 0.012739365247606677 0.0022576870387285434 -0.0085743100279387 -0.0028977681586156508 -0.0035864390405768907 -0.005404006206160565 -0.008969436718750516 
16 16 16 | -0.04753231561551807 -0.1190930836941607 -0.024958269554211193 -0.03549689330591476 0.02964323014554606 -0.1617447732720778 0.15132503902113825 -0.07948616630054829 0.025444406149406622 
17 17 17 | -0.48199493227082524 0.020968700370739772 0.018196279059241382 -0.011220882771815438 -0.05100550211770117 0.017543488916278764 -0.02756299468058049 -0.007446096900791552 -0.008751538222154019 
18 18 18 | -0.6083564830330666 0.08490357020304824 -0.059677335392886284 0.09162042469224448 -0.057183689159881194 0.02283674150250939 -0.07517041917582791 0.023687377609319948 0.015967898154249774 
19 19 19 | 0.1560811842449683 0.019348540213797998 0.03099345873917983 0.05926754310570096 -0.0005950969630730256 -0.00974218159542094 0.014905465985131131 -0.0061303874491282755 -0.010251765649428137 
20 20 20 | 0.1540843855956806 0.05460589504142275 -0.03523673298925614 -0.020975908435737878 -0.002141395638639547 -0.006785013833924175 0.023489896786655362 0.0018414577300887875 -0.009922593122655308 
21 21 21 | 0.15901929562981976 -0.032039195280114216 0.011482131393858327 0.03781650399731757 -0.01297918866843318 0.007100673132849186 -0.0017427459736431455 0.006624086887826199 -0.005982787125087164 
22 22 22 | 0.21689353453756843 0.04074813893247974 -0.016369067776111038 0.028324122768572543 -0.003057379036649298 0.00873013228732694 -0.0009629049501113996 0.003079537339123875 -0.004570219002364202 
23 23 23 | 0.4210425498865493 -0.02648578221185853 0.0036678830913054114 0.02418360687148482 -0.002953655815839305 -0.0009798982544759268 0.00423256477814532 -0.0009469670941099395 0.0002617355672003898 
24 24 24 | 0.4133502101718891 0.017522327529115016 0.03114291067128962 -0.011002017178514283 0.002908340884806304 0.0006877202121223271 0.0008950512026241187 -0.0006328052435739264 0.002306560853192369 
25 25 25 | 0.4222555716568044 0.0006823928822290915 -0.027188181434801714 -0.024540932765882963 0.0018530922867212947 -0.004409485651006579 -0.0003876050594492722 -0.0004700494535743387 -0.0020291862139012514 
26 26 26 | 0.16670788679226833 -0.011737199650689378 -0.042278330142917105 -0.026552244614707454 -0.007106704398630061 0.0035992214523726355 -0.009437787214631323 0.004884533795866249 -0.011581893820710626 
