number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.465226236739368 0.0034400575110312367 -0.030646943202080792 0.06160246485308666 0.013614299900841191 0.008254600647809793 0.003955139644615148 0.09672692385369867 0.05887331425846633 
1 1 1 | -0.3481042758938928 0.013576936770383572 0.013066368317572189 -0.04739652208828887 -0.02005269389628278 -0.0025770684746964333 0.05607750651009664 0.20752813335239118 0.12185896388573988 
2 2 2 | -0.13123945739981746 -0.00032231898577023756 -0.011705084536059266 0.02207737269581848 -0.10210979869406993 0.05384403493476986 -0.05673579267891002 0.11889235831711167 0.11054027311202626 
3 3 3 | 0.3978767740688438 -0.0038080222487851486 -0.049817293180884355 0.12668399785799958 -0.21746607089345915 0.03369750639061657 -0.011913298299408277 0.032550957202263406 0.01092516650621147 
4 4 4 | 0.08963301889053721 -0.007201223350389059 0.012887189862813689 -0.03859955933364714 -0.18460312631565326 0.030006710447742 0.03800896089681972 0.13414471362062735 0.10339771845993381 
5 5 5 | -0.28526010787024525 -0.017239747841068236 -0.0007778691335958551 -0.021208869261000317 -0.11155336621289594 0.040304191902918604 -0.05794337202058621 0.11569846580644436 0.09225463820214853 
6 6 6 | -0.15396954365617344 0.006776298826905495 -0.010630700153717204 0.022394811457845918 -0.06046685212549764 0.01052060835981284 0.0613159362513829 0.1578388839738028 0.12680330023585776 
7 7 7 | -0.5959934753788474 -0.09495848091580526 0.013850985959257316 -0.06343412824486998 0.08470728458364397 -0.050660615160772214 0.0847993475038719 -0.02538773625394559 -0.049585894344099234 
8 8 8 | 0.1545431195686231 0.04941347802484722 -0.005417036663626341 0.003344550308678007 0.001983944907209427 0.0010952987487929816 -0.013968519226568419 -0.004661783007136688 -0.008268350413093695 
9 9 9 | 0.138951548932718 0.04119034687280536 0.008178672538616089 -0.032693682627217904 0.0029971459657836194 -0.007176400499193046 0.016889439730119072 -0.01112791735567216 -0.009680022339185832 
10 10 10 | 0.45094117415543866 0.020490783240430945 -0.004878925761707358 0.007767084509133555 -0.0021754965435393813 -0.0021529871185120048 -0.002481960794131203 -0.010599916929091449 -0.009285850411373807 
11 11 11 | 0.16896332191650698 -0.03938575081215329 -0.0064188944147496076 0.031358796186933394 0.003598198747794122 -0.006432862109056951 0.013767451955535429 -0.007917770155177332 -0.007604303406970521 
12 12 12 | 0.14560769067551516 0.029079523292776552 0.03839284284209998 0.007882252917094507 -0.0016401616436288386 -0.009084447049338557 0.011236397050100558 -0.008083914452392345 0.0064266416639422565 
13 13 13 | 0.14631396182518785 -0.04416871107099527 0.01171255494396194 0.0047465244562471115 -0.017777727627971248 0.0048794859765141675 -0.0033270994695010136 -0.00407209854852716 -0.0025191527222746097 
14 14 14 | 0.13982744136358316 -0.050150480629002465 0.009843046885597832 -0.014268910206831163 -0.002174110982336775 0.004149138877209122 -0.014553913041971515 -0.012634412316330605 -0.007877489961708506 
15 15 15 | 0.14988706080091074 0.012250202997457774 -0.038837335754985096 -0.02621664803338848 0.0005086518245017665 -0.002060315407197175 0.007536295301434207 0.00377305112166103 -0.014190769540411185 
16 16 16 | -0.37712657752143564 0.01603177338485116 0.0012260672078635436 0.09864712880599864 0.06971734051463753 -0.028239684337853503 -0.0187268546573263 0.08283603516697134 -0.04284181193759329 
17 17 17 | -0.3992500921809441 -0.010436657254890533 -0.022638860925378528 -0.10155160379273774 0.09536039800783186 0.013346840341022 -0.051965982073954066 0.06547482867363771 -0.0091578602258269 
18 18 18 | 0.13235031136202713 -0.04340418523382925 -0.02484672765961255 0.005642019715698794 -0.008468988421629593 -0.007149754881121502 -0.005141176343673012 -0.011876689101995118 -0.006076100064046229 
19 19 19 | 0.13451777925384278 -0.009250960049075758 0.050117970493300426 -0.009834158944581796 -0.0008924308799349028 -0.0024498272857266046 0.0034371807639285994 -0.00778208963727611 0.005591976353646586 
20 20 20 | 0.12269147207002085 0.04372515618497234 -0.023121037453227484 -0.010856567610470816 -0.0018036591783800046 0.003069052506138536 0.016614619581143544 -0.0063982931498311815 -0.005913770177401887 
21 21 21 | 0.12454532664881923 -0.04930946481031098 0.013398687225676536 0.00814968857242942 -0.0011584081587260758 0.005723376387057388 0.014489869246595927 -0.007353335613255355 -0.0038116981012229797 
22 22 22 | 0.1378838870206709 0.004385973543309696 -0.05023071857172112 0.0037626354740456247 0.00013993438444813831 0.006272309828034339 2.142842009998887e-05 -0.009088678217305109 0.01456636537824995 
23 23 23 | 0.11933799794453892 0.03887417496576398 0.031132742219961908 -0.003786908250565825 -0.0067079519477483565 -0.005063386810289567 -0.005170800759763033 -0.015339093915327137 -0.00646051897310242 
