number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.39790287502427635 0.08489135385729471 0.026004567249437036 0.055891464310367664 -0.09359192964784045 -0.0161853259707552 -0.08949872354814127 0.031193713440975636 -0.031860854787458835 
1 1 1 | -0.3939533411477347 -0.08116585948141213 -0.03956926613163483 -0.05176590785820975 -0.04886566418247601 -0.045063119893141663 -0.08753828382169074 0.0333821623019991 -0.03601655119319547 
2 2 2 | 0.11991537716525325 0.005840975290430109 0.03640021089877993 -0.033749097402476155 0.008391724013056476 0.012189309504372609 -0.0016381711555755987 0.0048595011082027476 0.009176808233063176 
3 3 3 | 0.1602414041149416 0.013514406198534435 -0.05091835861626007 -0.011591365734090288 0.005932976403735054 0.0033080266330662756 0.007932347714006374 -0.0010560890447742872 -0.0008861262828907231 
4 4 4 | 0.12484986424073563 -0.027648771610732762 0.005151901058437293 0.04096674337960746 -0.008204943177806854 0.005436846398572592 0.014745831209006483 -0.0017683485283858393 0.0032070656881676525 
5 5 5 | 0.126764580406582 0.029598241553293776 -0.002158763839799085 -0.039373382901364835 -0.0066371789786426535 0.0025067933691423835 0.017060134972993645 -0.0014179790650045688 0.003315405552816307 
6 6 6 | 0.1269833131355249 -0.027125675369314706 0.04542882617847661 0.0013844496658623983 0.01432289686718654 -0.00427585359325598 0.004066067216780031 -0.007554914805732716 -0.012090826117622635 
7 7 7 | 0.13664629685880103 -0.0014241511326147773 -0.04190112006644966 0.029877936794830435 0.008947007031288241 0.010233924538882255 -0.0012237885468952894 0.006928743728288961 0.008515266098007375 
8 8 8 | -0.22415809302672152 -0.04417086293691974 -0.06976069070805366 0.0004380661019805792 -0.013321573227700377 -0.04150479859053464 -0.07125735240852313 -0.06479322727029165 0.04507060108937787 
9 9 9 | -0.4217471077840562 0.07204732022560106 0.02906135611351149 0.036923767724002 -0.025744860611634657 -0.06914193324455607 -0.04835611350946395 -0.0021022757059021204 -0.03943787423037553 
10 10 10 | 0.03951011805493376 -0.021081957838802998 -0.001553306444225778 -0.02441982681957846 -0.11446942475800326 0.045009519751918164 0.1385985785967769 0.0422551273439548 0.18424150628721025 
11 11 11 | -0.11732769644395624 0.017914494620567118 -0.012868995662145818 0.01069693464806277 -0.029802885906860897 0.02210869241211043 0.03690822305942862 0.07281166674165382 0.17510137606672063 
12 12 12 | -0.16952268646046686 0.009800901902335284 -0.0264368744717647 0.017159803338249385 -0.1109449649816718 0.11743392052806531 -0.0037938378779860667 0.04009026647217098 0.14420402788490563 
13 13 13 | -0.3470620476594215 -0.044725180272452786 0.02198859127231278 -0.020701019685925817 -0.1173291748940619 0.12693772751110816 -0.04229459015208502 0.04224529215751942 0.17168087184427272 
14 14 14 | -0.28177291053193176 -0.001749418856076783 0.01369263076131564 -0.024042014376055854 -0.02532091660405103 0.03445715016542083 0.05957262805523954 0.0772020352671859 0.16571859378702042 
15 15 15 | 0.3997423743987003 0.08941711156044134 -0.07516447894687178 0.07234182662788245 -0.061335456810484926 -0.054666827377723486 0.1739531956757472 0.07348789226553756 0.09038860045993131 
16 16 16 | -0.5995788022851265 0.02618138315932599 0.05823417085894455 -0.09600030674478228 -0.032148212127855874 0.020400964438528266 -0.057801502417324215 -0.05394629318863143 -0.11288974604979453 
17 17 17 | 0.12186060227435913 0.022161330027038594 -0.001164811551898555 -0.04514722640375081 0.0007154040965545487 -0.011983268589551876 0.025841356405855144 -0.0003859667532924649 0.006648892873163615 
18 18 18 | 0.1298234576415327 -0.016238321475520436 0.035430231518328706 0.03449209996494245 0.008458132685043923 0.008557467559417876 0.012411488366908974 -0.0093473782548741 -0.005409559961396195 
19 19 19 | 0.1306537384415133 -0.012645877177062748 -0.022596941468518785 0.03967971339823476 0.003552767669139834 -0.0035987934065698757 0.014288013532581417 -0.0005353282740826949 0.011621634573070418 
20 20 20 | 0.13912915827799255 -0.05263707591576477 0.010153069483772847 0.007560645863764437 -0.008990520687845682 -0.003690438075389587 -0.0010428494730792257 -0.0061704625739112525 -0.021812424051673406 
21 21 21 | 0.14521185752275234 0.026808738325121394 0.02049768630926232 -0.04220519438030276 0.016110166479440673 -0.009414173607756935 0.004133473524590849 0.0015696053082910031 -0.0024036137885361576 
22 22 22 | 0.1537270891521041 -0.032695870245773646 -0.013686597119275555 0.034303961706309276 0.016901989710630342 -0.00745588645649302 8.731088854146639e-05 0.0012344822899342032 0.0020414059078029574 
23 23 23 | 0.1706128757301114 0.050283549575326554 -0.007681705303388344 -0.008195322708043691 -0.007477447328434622 -0.000540883680633937 -0.0007179148056978698 -0.006786626209071554 -0.016071365151547 
24 24 24 | 0.44931929851343233 -0.007353556937798929 -0.011029983852625578 0.018232681643838487 0.004595055833134629 -0.009818559351912743 0.006728340722370604 -0.001538335107768561 -0.011633542571738605 
25 25 25 | 0.14355881545729354 0.028351000073298608 -0.026054969875384977 -0.03173244702155728 0.014682892695957635 0.005111123798483875 0.005555923396217483 0.0018993465251517317 -0.007668423427498265 
26 26 26 | 0.13187384176485417 -0.026940405788808394 0.041454168040697716 -0.006151849939545757 -0.0010800104952752168 0.014228908307036615 -0.0035687228662428993 0.002047951707762259 0.009072697542522675 
