number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.3886307425584965 0.012695681579794473 -0.04429133349990625 -0.0918483708069184 0.06648646769884255 -0.00950245888732572 0.009721595950813585 0.09532922845455367 -0.07107974001832376 
1 1 1 | -0.3887242460827842 -0.012673903665462886 0.037342736270295024 0.0930392044524572 0.05286178990270716 0.016385553357460624 0.030144460034313352 0.06039031765500866 -0.0701774830800488 
2 2 2 | 0.13054941922326846 -0.04808004943422196 -0.015711930016364454 0.0045037654212096824 -0.00794177200781761 -0.0033110970870510507 0.005875941843404827 0.002202446644973843 0.010969455879366425 
3 3 3 | 0.12670444000025793 0.037970058428986465 -0.026470137946419264 0.0208719880392569 -0.002261938349777316 -0.0014745711218567333 -0.012872999272686012 0.004261109722352867 0.009955304313021737 
4 4 4 | 0.13411623907210524 0.0061565804537885025 0.047464291646008516 -0.016830064843943685 0.0009695641921442316 -0.007105430394166165 -0.00783161873806064 -0.01341783367448002 0.003009416440466825 
5 5 5 | 0.1301718439419478 -0.008940226708825409 -0.04686019234456982 0.015344631580735709 0.0005389769459590348 -0.001558889673639949 -0.0033690811797254753 -0.017648033761050126 -0.00035635016438191494 
6 6 6 | 0.12794054837186486 -0.04015614682850059 0.026075356590350696 -0.01818022578686696 -0.002716583369345027 -0.00025770614647767555 -0.01368326078240498 0.003980469705223572 0.011446869009672253 
7 7 7 | 0.13065166672668238 0.04822871289378225 0.017499558784728808 -0.0006338664066042731 -0.011175633046293022 0.00022754712479265728 0.011386984012269218 -0.0013970422798002323 0.008870876196225128 
8 8 8 | -0.3828523289429073 -0.004016535387978237 -0.02753973568364545 0.09704913178710585 0.05137740628445018 0.018003532806507697 -0.00961519215181016 0.07559677552239591 0.07579268566250599 
9 9 9 | -0.386984630571078 -0.007216868722545537 0.038958641612616765 -0.09410474490268783 0.07299808631158276 -0.0007762603913487781 0.022049989673225422 0.08316049106376218 0.05056496684114653 
10 10 10 | 0.12836106471409958 -0.0395953955403751 0.029365942537160454 0.009316759490939356 -0.0059725288564026115 0.00932924837968581 -0.009291406242445127 -0.011458479623379567 0.0026770697771509606 
11 11 11 | 0.12578096247720005 0.045685631844410116 0.01982482050210702 0.004663532816249481 -0.010011848279122104 -0.005512750904232208 0.011669468346645513 -0.009608077068852366 0.0003973032779791954 
12 12 12 | 0.12963107000038288 -0.005955442757676995 -0.046847936190802034 -0.018367858832198655 -0.001334293399576192 -0.002002023658765449 -0.005723275380897617 -0.0014090957470712865 -0.01319311825799152 
13 13 13 | 0.12834687527966926 0.0420949811999638 -0.028237140166708596 -0.007262592095417148 -0.002492736264749605 0.0044929302758644 -0.007321652575360125 -0.010029687289492667 0.0001647744402078125 
14 14 14 | 0.12870957904670388 -0.04624787322749949 -0.020290492344692265 -0.0029245151455267156 -0.008385908191175179 -0.006593001579262558 0.012271825348908746 -0.009407205525307008 -0.0007988843395181702 
15 15 15 | 0.12496748721619899 0.01401876110877283 0.04406056858161384 0.019237733024808523 -0.0005354880137348451 0.0005094070067044735 -0.0020074183231505297 -0.0015126373140054964 -0.019992142048623655 
