number of atoms: 31
number of fields: 9
Multipoles
---
0 0 0 | -0.4023811534492854 -0.04581373058992846 -0.080436193488943 -0.06268543118814458 0.09459141936522497 -0.0742303918342508 -0.035212115352194144 0.001546261890985213 -0.014441148872082225 
1 1 1 | -0.401345462853576 0.04136514196437761 0.045779152474213936 0.07832141154932619 0.021254288723996994 -0.0231397999528061 -0.028467372864944655 -0.0025379113022531725 -0.028460617857799707 
2 2 2 | 0.808848628395979 0.038182430760427696 0.054150094777738994 -0.0330691994478854 0.011124587610211957 -0.1107699923603467 -0.09816393922419814 -0.031817798822328984 0.16840653843921022 
3 3 3 | -0.6296296446864584 -0.03654614109817794 0.008171776438492274 -0.07021443790403584 0.00789099550383957 -0.10230777927855524 -0.02603197988104122 -0.061785955341561075 0.10348284435834706 
4 4 4 | -0.9307897602542452 -0.014864016593347129 0.018004367271534115 -0.004340566839855989 -0.041270353354087026 -0.020031040574013337 -0.0028926666473806455 -0.046500505517952366 -0.013936810721012152 
5 5 5 | 0.14916660148894234 -0.042733761163128804 0.0007380635066795669 0.019853932769962963 -0.005425594477941878 0.005518825327587688 0.015045522161896946 -0.0003278255265569111 -0.00048037845766328515 
6 6 6 | 0.14602257641252359 0.03089323328149355 -0.03322451152372168 0.011815548033005264 -0.008047115571589674 0.012347114636161805 -0.0061760072108907075 0.0043738107338383864 0.011765121946828796 
7 7 7 | 0.1532595577978738 -0.034662152154050586 0.03786032426540575 -0.010288832202366347 -0.008866310441480129 0.003173934879924393 -0.0038681342500653964 -0.004880032054332604 0.012381573311779784 
8 8 8 | 0.41961206306129006 0.00813766940155664 0.02180617683368253 -0.010617830783096149 0.004735862638820143 0.0005947691690935132 0.013998451965043932 -0.005259786128893264 -0.0023467418323936417 
9 9 9 | 0.4114202350772995 0.007858742576722297 -0.01620002029833733 0.021331045630749314 0.0031980423919936605 0.014762561277882946 0.004691065825488827 0.00339760536515408 -0.0042055923927124044 
10 10 10 | 0.13306946488956206 -0.009975035763844533 -0.04386629270444282 0.021203956364546 -0.0021355810525118908 -0.0025402856529642016 0.00661018678678761 -0.013131829509941255 0.009696924183398282 
11 11 11 | 0.14491351006952813 0.03967486478669988 0.006703214581213228 -0.02995721572311597 0.001329591585970746 0.009230877794018181 0.01624409443979302 0.0014360237308592813 0.004102858125342789 
12 12 12 | -0.4198461296049638 -0.08227333255874311 -0.032590054829924345 -0.01937406834635383 -0.04029781493736393 -0.031126274286286285 -0.08924840058583713 0.05429867033868042 -0.03569061608084855 
13 13 13 | 0.24366176236290915 -0.027657857076221884 0.0685078105829072 -0.02066465730615952 -0.05046030399072419 -0.12335318164514619 -0.14291297680611845 -0.05789705141996862 -0.014399321809882612 
14 14 14 | -0.04799889580737826 0.021107045967117544 -0.003934265883404118 0.037528454181922806 0.045862175240889744 -0.0022068224341718875 -0.13381043759481617 -0.12211628245078868 0.12907941385487076 
15 15 15 | -0.02941636536159553 0.06169928995810434 -0.006792036114119982 0.07940548028389 -0.0069255877082013 -0.05570297443844462 -0.1426966764993183 -0.07780018950051579 0.04848507154583549 
16 16 16 | -0.1058860342927126 -0.11079185867390454 -0.03704723257734182 -0.04005669349152738 0.029197433642184207 0.061106948342883265 -0.06516509928691534 -0.058216168117692944 0.10301279960979771 
17 17 17 | -0.2830372913448569 0.0008279256216028332 -0.014439294446328143 0.017420870687143902 0.04368864675929327 -0.05890193536503997 -0.08348552283901063 -0.14403971002316504 0.0971943156535817 
18 18 18 | -0.12027559636658225 0.0160856623746592 0.034399372605646315 0.013420518044346212 -0.01325836879808368 0.025712564922912032 -0.1653505413997388 -0.04122534858570533 0.10500814326425388 
19 19 19 | -0.15642459613805837 -0.024702434089718166 0.02211032099052182 -0.0069479654609761144 0.03770972697407801 -0.030030409672259086 -0.09077358862581443 -0.11633670439826992 0.10434585959761443 
20 20 20 | -0.19070792661848657 -0.019551281041819385 0.02563462866649577 -0.020587715063756767 -0.055345176688532186 -0.11529695697140438 -0.1557605411968265 -0.06112133645753097 -0.011014586497661743 
21 21 21 | -0.4164658529666756 0.05168429970520857 0.0007380537516670152 0.047573046054067473 -0.04605985060512671 0.03622642847865951 -0.05204027730838631 -0.004543008880681579 0.01284190462336656 
22 22 22 | 0.3604764106563717 -0.023533716518940775 0.012989076193550995 -0.026880205087588212 -0.007170261331829831 0.011375892840852633 0.008525162783405394 0.015754782049266388 -0.008756252214248802 
23 23 23 | 0.15329526004210736 -0.04216068605703948 -0.007236183166620374 -0.027707405197175065 -0.007264132220754363 0.008964484594512262 0.0017391953238695755 0.014111561663098564 -0.0019851978322549205 
24 24 24 | 0.15482921541640504 0.014086586016933725 0.060028374858973096 -0.009795799016483238 0.007039259910888479 0.010288988696800581 0.023963155027579095 0.0033025432186655477 -0.0012248667792367982 
25 25 25 | 0.1375861449481517 -0.02859265870415631 -0.047725136451925526 -0.006608652387733705 0.0021374586692403364 -0.007629249333479825 0.017494238689578136 0.0008896704351788373 -0.011638055546420997 
26 26 26 | 0.14069917510574015 0.04267530885218385 0.0003410389576883593 0.03337824032441434 -0.012527521540888441 0.002657027561478668 0.00429438216049886 0.017478838484530662 -0.007967816545055103 
27 27 27 | 0.13902572260555357 0.005018107185538204 0.0343507458685385 -0.03358706305652221 0.008934277052817921 -0.006533366568019207 0.009008988706058329 -0.008580109431912886 0.0077786919453787864 
28 28 28 | 0.14559605064086245 0.023347815151283695 -0.04263812666059767 -0.01143954582616836 -0.004129168785099904 0.01695712076232448 -0.00045521422185903706 -0.00188282198987674 0.00757983809400741 
29 29 29 | 0.14422981842460436 0.014146305303241138 -0.04558354535275377 0.02532138472534505 0.007282610696607543 0.012668638996207725 0.014254140930587472 0.0036971422686389536 0.004471443868890084 
30 30 30 | 0.1462578077075486 -0.015195116421610498 0.015069369437205639 0.04472830253336067 0.013707404567537251 0.004647002240201499 -0.0008263308547875348 0.008518435178651673 -0.0033918866608369813 
