number of atoms: 19
number of fields: 9
Multipoles
---
0 0 0 | -0.13795216932001697 -0.05414824948261868 0.06330673026740598 0.005343845413015251 -0.09157820079726597 0.033882513340392724 0.018476491931513694 -0.10281768287376927 -0.033006910106104174 
1 1 1 | -0.4283952460835252 0.07494458737519523 0.01775663566198112 -0.005648755443902732 -0.13092326251862535 0.011979495074784546 0.00934736597882302 -0.011376097842181713 0.0056514964924104525 
2 2 2 | -0.4403167779003061 -0.03539769323864187 -0.06913425163376517 -0.006689829386039583 0.042716244593335596 0.0019254327735669823 -0.005555533088902082 -0.09404525170184648 -0.028949386449990167 
3 3 3 | 0.11279080179976086 0.009541166584661349 -0.021712839592601885 0.048396658196411604 0.008346876942144556 0.012827700939163099 -0.0010265230646173955 0.005384677970837758 0.008311442073649752 
4 4 4 | 0.09902642698627195 0.005381577533562296 -0.005463697009624169 -0.050999153417070335 0.008670658357737428 0.01619119158051576 0.013071600929357753 0.01271496879014556 -0.009811562333028354 
5 5 5 | 0.13168296979825245 -0.004642335961297313 0.03444312576244741 -0.02855619874787999 0.011810786224428898 0.01250776078434383 -0.009743203102961803 -0.0037576269028664665 0.010278789696719148 
6 6 6 | 0.1314805988565293 0.003246458612116061 0.011509485268385368 0.04589999100565072 0.01045636133922495 0.005553222471811758 0.01621956254127787 0.0076519960616442066 -0.0048444265704080764 
7 7 7 | 0.13405969855098643 -0.02624489197642634 0.014790584627694914 -0.034993697631106345 -0.003202086287088816 0.01465002974657592 -0.00547845864557172 0.0038546687000878543 0.013995501892673092 
8 8 8 | 0.13596682314451658 -0.015715395289425355 0.004076902128499945 0.04412874506956789 0.0010808909974100245 0.009403842883616747 0.004409839892533394 0.012780230252013322 -0.010314075817806944 
9 9 9 | 0.13076401403211668 0.002286940849351031 -0.045278537186692884 -0.01703434653233996 0.009835095629167945 -0.013596283830944801 -0.0033142393034635066 -0.007369911051235892 -0.004230332415648608 
10 10 10 | 0.12988017769140336 0.047102261941016445 -0.007992087269177233 -0.010225191147837535 -0.014594687177154368 -0.00444580866708975 0.0009648349827946682 0.004760771960156854 0.0023064258729351096 
11 11 11 | -0.3942747041598098 0.0814008633541913 -0.04286361348280319 -0.05314686392104367 -0.060191464395170424 0.05468405311869499 0.09700788452638544 0.02445702166258481 -0.04366152510731414 
12 12 12 | -0.3846235457446836 -0.08504187380030438 0.04066842953349604 0.04332368901432303 -0.0516280627345341 0.06326819460765983 0.07235005143589876 0.01558929412753167 -0.042650949459291564 
13 13 13 | 0.12737461684566487 -0.022141156064680232 -0.044863584539628285 0.005289899845653939 -0.0038517749844246703 -0.01297800734979017 -0.00030166373151363355 -0.00048286974212858144 0.01002838658693444 
14 14 14 | 0.12996138056475848 0.028994433822574512 0.01865946594733823 0.03612087692113518 0.01283755466469107 -0.0049556503929901385 -0.007897825275151513 0.005067503777075227 -0.005404716888744656 
15 15 15 | 0.13629018588837016 -0.01495535853050881 0.03236801802617041 -0.03920462854935979 -0.0005586659942540457 -0.0026552200235729928 -0.009519574682062281 -0.002599233643082055 0.0026703406169939817 
16 16 16 | 0.13114025390102813 0.023351146027368565 0.04513863204201046 -0.0012250850715231894 -0.004289903803750144 -0.014405277205663026 -0.0015417266682845325 -0.0011102863759915428 0.009350678927736467 
17 17 17 | 0.12853290655619087 -0.02349566132569046 -0.018090342511068423 -0.04031707893188723 0.013253035743463747 -0.005190573332699694 -0.008624894067667982 0.005465821524469224 -0.004099471454533821 
18 18 18 | 0.12450366337398555 0.0041121730460554565 -0.03181575452641288 0.04174501075628803 -0.0007419376223239128 0.010259252252793378 -0.013439126463374541 -0.010349619304508938 0.0075054648737998735 
