number of atoms: 23
number of fields: 9
Multipoles
---
0 0 0 | -0.504722121269209 -0.012375220035822632 -0.02982958319270889 -0.04633794751448586 0.03622799257669801 -0.008910717384305397 -0.019394969745935586 0.02903780281032293 -0.08053463539357976 
1 1 1 | 0.2215956689055556 -0.019914577376843254 -0.0008028291256369557 0.09285074601940556 0.06569938617687 -0.07409202225850942 -0.0003332525112207481 0.07097107094011053 -0.05145345618093633 
2 2 2 | 0.3177468793689391 0.0744440545155074 0.08796236835082741 -0.01712210804790492 0.055616170355536634 -0.14697332097224833 -0.0051066183338625455 0.0215933121013039 -0.08540519375214972 
3 3 3 | -0.2360686827973888 -0.01679222762331098 -0.05599113540615324 -0.13163104309489068 -0.03253136488117799 -0.12470930984616607 -0.026346580910892103 -0.09025653049989704 0.0075315677761937086 
4 4 4 | -0.556168581568266 -0.07772209858476095 -0.07336407223699389 0.04276560938093674 0.005195172028495689 -0.38136018748867995 0.062326598793192106 -0.08109123781706012 0.01690567819873863 
5 5 5 | -0.36701641468184576 0.0025723625288884603 0.028835526497569642 0.08904178605861979 0.027447633497887532 -0.05162578313295452 0.008787634744125587 0.01705763384610092 -0.0234900031663986 
6 6 6 | 0.12035717387972067 0.03174636881689562 0.020336036610443992 -0.06958441433086293 -0.01049514362358672 0.03330014309251388 -0.007642630651505349 -0.001156821382341489 0.00926071957568485 
7 7 7 | 0.35378852424899376 -0.017644625610385663 -0.02506015552191946 -0.021924988401796026 -0.006284916959595872 0.013948723097448929 -0.013384633247594691 -0.013042889587389486 -0.003903177249708842 
8 8 8 | 0.1643040766638384 -0.03178747412799383 -0.023172992272613154 0.04505108353207615 -0.015645309516809956 0.012729338454814047 -0.0033090551874834597 -0.01728648637659678 0.01525972388318072 
9 9 9 | 0.15675114355988684 -0.03203345176592005 0.0343574867525763 -0.008579457622488993 -0.0026518187579517172 0.008713993817073263 0.008341973460112485 -0.008924146132128259 -0.006882165716506131 
10 10 10 | 0.17036594507488834 0.04276772013852979 0.016036022654692412 -0.016352258040430633 -0.010534604340194731 -0.010621675038008791 -0.0033355766949096713 -0.0069624171697824176 0.0019831011742845453 
11 11 11 | 0.15545153314327587 -0.000919265082363154 -0.03191078528760772 0.034631325186775114 0.00012508640373760395 0.001400062027904655 0.006594427963543855 0.001785712003084271 0.013309713016899847 
12 12 12 | -0.12893579833185953 0.0809663643528159 -0.03299492651484857 -0.018185774943623233 -0.05492528440382387 0.05152285189563177 -0.029615828510083247 0.07999827218296039 -0.024589281629847422 
13 13 13 | -0.4449492716479213 -0.00354630252949045 0.019660392156252524 0.0757463130078556 0.025066909101898825 0.030876277417408872 0.08594054696278225 0.0654627958788876 -0.04110558144509678 
14 14 14 | -0.4312504219531794 -0.04954264022082664 -0.0009670404690605464 -0.06831248211305174 -0.06784368211972351 0.029273695547842905 -0.08720182168702344 0.010251314508997213 0.015663999105515514 
15 15 15 | 0.1156357412939063 -0.0010821292783929418 0.055670502354428844 0.0008911777684011384 -0.0022094252490118763 0.004516604800856862 0.00400508425417766 -0.015931050116078625 0.0033516797085955956 
16 16 16 | 0.09548741924681414 -0.028186310623654804 -0.040098037500070946 0.017883671932915554 -0.016062231871848437 -0.014611155745384725 0.01102905472329326 -0.013575584572190063 0.008124326020278462 
17 17 17 | 0.13304172417834925 0.015426220707205578 -0.04150915865283542 0.014320472237549479 -0.002266978303522392 0.012777255317714129 0.000336885088791906 -0.017857786748507805 -0.0025909791022372146 
18 18 18 | 0.1330676198667291 0.02795816865468633 0.03314359377991709 -0.018819639770940835 -0.008095659329443217 -0.011642729683977813 0.012327666099517054 -0.005811034552140878 -0.0019409371464689188 
19 19 19 | 0.13689483122652168 -0.028613196952252503 0.01628735178066063 0.03770336157969789 0.012623806895595696 -0.004010021836717715 0.005790623419616803 0.009109550110124492 -0.0036748093162580916 
20 20 20 | 0.13915594950931587 0.032258078840738336 0.035273805120876855 -0.0060105146772565215 -0.0078590752044131 -0.006690987293178961 0.006778877978968988 -0.0056076596860616225 0.012195103667609418 
21 21 21 | 0.12643824687434224 -0.04393489281907728 -0.005358829284970706 -0.017895283975099326 -0.00571674050021257 -0.0004074673330484771 -0.01695038134781476 0.00019624453303507334 0.003991134184501754 
22 22 22 | 0.12714291946514544 0.01147104015243972 -0.04534286805027966 -0.000993504851698598 0.00605196201910095 0.010260650337253813 0.011223108126455628 -0.011736081744938898 -0.000456995680105047 
