number of atoms: 18
number of fields: 9
Multipoles
---
0 0 0 | 0.12873177177037398 -0.04597132487604553 -0.1537663926942271 -0.01872450140484432 -0.1532753993786916 -0.06665403770743779 -0.002180369566546545 0.029804698336159494 0.09098199288397973 
1 1 1 | -0.5387527978055058 0.03999550302940352 -0.013284009072185207 -0.006625586187261095 -0.0871108118986196 -0.02242112866709043 -0.017037923849930213 -0.033666684574407066 0.030908619782077425 
2 2 2 | -0.6105344503892471 -0.03801225651355672 0.09956966555147825 -0.10697758970260862 -0.12673089805421697 -0.03383824264119468 -0.11783399140769088 -0.008511047303126691 -0.08025207697975542 
3 3 3 | 0.10679724681478764 0.012530823380610854 0.012495942463893095 -0.06412072675817905 -0.0022305994771249006 -0.01576592701561523 0.004350819380925371 0.018199849583470505 0.0019145049385259519 
4 4 4 | 0.044690843546963954 0.01917206136716574 0.026564982375849033 0.055770211433592724 -0.0001445928836193397 -0.0233389893664222 -0.007763386743118059 0.01658332583748067 -0.007253502133301033 
5 5 5 | 0.14984106269784725 0.004338859291099383 0.038989042640219455 -0.021093735616730613 0.011196182005210449 0.00648516609877028 -0.003390117355876318 -0.010317703819442537 0.0060633464182653085 
6 6 6 | 0.4066474933233748 -0.00932967728835799 -0.009067020500816135 0.01895134394547152 -0.015633559086983242 -0.008403024278234375 -0.007884251615988734 0.011593921657690387 0.006540525966488602 
7 7 7 | 0.1372281068317076 -0.007973355116765028 0.0030377379685253324 0.043885653301174075 0.009726261891627598 -0.003374639498201213 0.01422621937585042 0.005729447862086208 0.003596165876024436 
8 8 8 | 0.17543636323718903 -0.009836861129500689 -0.03279657372447347 -0.0325969730701111 0.005810502841102253 -0.01140721746868988 -0.010712195543137206 -0.006765611421337344 -0.001468738199994115 
9 9 9 | -0.6725783791138484 -0.009783951439236903 0.014178872210376586 -0.02388069485703736 -0.08601068565831652 -0.024820377465660643 0.02600104433206862 0.08048351762311166 0.08112728934950644 
10 10 10 | 0.8533308181492032 -0.025674364157603692 -0.029482527625058742 0.04795067806461595 -0.1092309095614543 -0.02165534913417604 -0.006307585591361272 0.11377728833808283 0.1374768872489035 
11 11 11 | -0.620005870306036 -0.09469121465538229 -0.013863921412656724 0.034118427613702165 -0.029085357052711078 -0.03978852614571317 -0.04266545496075378 0.052541978348289206 0.13622374359416908 
12 12 12 | -0.9521023226664953 -0.01407142482894239 -0.0043043957877868 -0.008238219222058295 0.06742876140587377 0.013996652407015756 -0.03814248954975722 -0.015553348797126979 0.0017857084319267786 
13 13 13 | 0.17235666679009753 0.018934226588464654 -0.03740160005614489 -0.011450640789031042 -0.00852395829781216 0.010473411838849426 0.0038541264511646593 -0.002091649403456107 -0.006698296220033797 
14 14 14 | 0.17301833372807607 0.019351675492254406 0.03424181735774925 0.017391614117813307 -0.006018653736887543 -0.007547804971327023 -0.005491863403958399 -0.006712117450104563 -0.003946981301021626 
15 15 15 | 0.4366618176886016 -0.020760351371610298 -0.006049506531047017 0.013946625632617265 0.008374272949250623 -0.0033068682852011437 0.013863576808778581 -0.0013284196855067895 -0.004174452341413108 
16 16 16 | 0.4023995959841593 0.02604893257595614 0.0010800380844030635 -0.0022132877861028863 -0.0028711515294542866 0.00139808326585778 -0.0035537135711510427 -0.014655645776728685 -0.01559284883619301 
17 17 17 | 0.2051430498216288 -0.026944612584098006 0.011265603879906674 -0.03213053530331355 0.0010315603246451666 0.0043925489767388404 -0.008794419492119274 0.004590845899903699 0.00501644164283319 
