number of atoms: 15
number of fields: 9
Multipoles
---
0 0 0 | -0.3931564563503711 0.08345882330340029 0.0049039648488868265 -0.034895322297288485 -0.07336096637554544 -0.019092586798255158 0.012099810249974129 0.022562785059226306 -0.023897220549347526 
1 1 1 | -0.40858469782190454 -0.10862738014058246 -0.009626982798956922 0.04324105670952637 -0.1422906874289219 -0.018907286111319022 0.10361775547364258 0.01485848334492651 -0.0027595195591476134 
2 2 2 | 0.11864691190513643 -0.010240013790610118 -0.0439041261738049 -0.01026261247101704 0.011911541262332985 -0.014048348461146378 -0.014599622726095354 -0.005973890757191863 -0.00435143342741002 
3 3 3 | 0.1949663416247266 0.0071666845643920465 0.0028886117017035817 0.05468841124622602 0.007467954553065499 0.0007860849425617535 -0.0015743039593266324 -0.003846951066562592 -0.007593001813316467 
4 4 4 | 0.11983564126153556 -0.017880720831463203 0.04008078466515037 -0.01369531592610981 0.00603914634066156 0.017432352584887834 -0.018134943591440668 -0.0016783655698321747 0.002237317460691969 
5 5 5 | 0.12721800029240837 0.0007192807476262693 0.04268766708093083 0.02716504993026032 0.00405496748153756 -0.01689910040599861 -0.00797196173261476 -0.010461848827605626 -0.0011747849598900653 
6 6 6 | 0.10572875800157588 -0.024805085363322724 -9.28584273370081e-05 -0.04310762703065637 0.016797747261504292 0.0016069205478854071 0.009059324078640648 0.017052306741907556 -0.0004567074930544836 
7 7 7 | 0.12430226331667404 0.007769161490193688 -0.04000198141703728 0.03139543304400867 -0.002656145710509565 0.01928995060828937 -0.009267305009540977 -0.00744312819038004 -0.0010910368606847805 
8 8 8 | -0.8041156408411876 -0.018465105558717238 -0.002044225996428429 -0.00560009624493904 -0.1333374119005747 0.0953068894362553 -0.15475994714282212 -0.12991204045575325 0.028445693414711766 
9 9 9 | 1.0025074226605195 -0.05267093045885143 0.022687301916523083 -0.0036841949970787672 -0.100945878672665 0.016889803653504596 -0.07240989559828431 -0.13870747095655453 0.0029828223990347826 
10 10 10 | -0.8367325221584743 -0.04647788726775117 -0.01269393975693393 -0.005677092595810466 -0.07566130821003055 0.054298770992003344 -0.03261360888847451 -0.15490448132173992 0.012092997189228667 
11 11 11 | -0.8506996466607628 -0.012576927618365092 0.04217294056099772 0.005234157036822736 -0.12060908687266583 0.019467939128771223 -0.04684313366725574 -0.10003152341731518 -0.028179845560660183 
12 12 12 | 0.1757629550244183 -0.008752216549776459 0.013775534319644837 0.032228081244869033 0.008554207649486173 -0.0010811265671084155 -0.01875454061677807 0.018887108196616972 -0.0009970397157596123 
13 13 13 | 0.16593588809876736 0.015014455012888478 0.023712127124706616 -0.022900210900184546 -0.017415657066697995 -0.01129197021863073 0.00972787501011031 -0.0016257092116495353 0.003689459055023919 
14 14 14 | 0.15708752430244866 -0.015618524571544822 -0.03006290835170516 -0.011776243246163283 0.011432297225000273 0.00883988529605099 -0.0021039278240572857 -0.02671420085489457 -0.0033936727637816125 
