number of atoms: 27
number of fields: 9
Multipoles
---
0 0 0 | -0.3733745670582307 -0.06286343983267817 0.06731891874002151 0.06120757359844393 0.009446573371764163 0.08462182060229707 0.07788251452857721 -0.00992982230082227 -0.10280718783859556 
1 1 1 | -0.39309147370649367 0.04902631406726336 -0.06780543419566123 -0.06438438835762325 -0.014029590711328564 0.07674339141668261 0.05983886674200246 -0.011302612822661868 -0.0695914640989293 
2 2 2 | 0.12062744275390302 -0.03060434092191238 0.0067087835152980155 -0.039442761579269736 0.008833089780647374 -0.009546314965035458 -0.006826818582385554 0.01224353088023361 -0.0007633664777612448 
3 3 3 | 0.114589736952736 0.039510315089585676 0.028353065069197513 0.008194021973966596 -0.015490153227973228 -0.008038188235681257 0.001810657120495602 0.002466014082287681 0.008350997274405313 
4 4 4 | 0.1290031987095911 -0.005228536194629155 -0.03898449675534119 0.03348805557653972 0.003007168210346441 -0.0038932354661784974 -0.005946546156928496 -0.01374043906304505 0.003066436934985993 
5 5 5 | 0.1661782743056207 0.031355486249236175 -0.00610816241556067 0.04685515236092182 -0.0006433300672549698 -0.007323999846621794 0.00224141295717214 -0.0011896950197644058 0.0006874250216176642 
6 6 6 | 0.11959454779206269 -0.04239862155880201 -0.023836826076051663 -0.0024723130693523588 -0.015172151702189465 -0.008501812132148035 -0.002572035324051014 0.004151349318155329 0.01040554519884197 
7 7 7 | 0.11730885303703631 0.007716872319464521 0.03827961114069911 -0.029330141867483013 0.005849097538618611 -0.0027563500206339254 -0.011150938028045293 -0.012373157951505358 0.011901002563767629 
8 8 8 | -0.4188960471268848 0.03281245560078634 0.061678291284969836 -0.05887503668474204 -0.012247572777138605 -0.07469679891455361 0.06501067064671724 0.002274146360856872 0.06110322728047712 
9 9 9 | 0.259741659813546 0.04647204612017399 -0.04968824875317076 -0.030823243474329298 0.05075978419692476 -0.07647281872737093 0.13373584148170722 -0.10972898364053468 0.0761275734901818 
10 10 10 | -0.04620298436768788 -0.025281807641967975 -0.00960537169423542 0.02525536785910565 0.04095649755914776 0.08869165631184116 0.19038560402586982 -0.09619928269604804 -0.035273422674062097 
11 11 11 | -0.014230158932722503 -0.07041907692202976 -0.018850541643525152 0.06914495773591672 0.05371416072462391 0.0055008822594268605 0.16671269089643934 -0.07899635026946465 0.0280826404797373 
12 12 12 | -0.08973151922989064 0.0679789394439411 0.08061918101664878 -0.0638225232195369 -0.009935246863350998 0.09246557748605998 0.11537991050983178 -0.007617428282614326 -0.05989607335144212 
13 13 13 | -0.2819016268259107 -0.007042386676924624 0.01536400477893605 0.0064677247143185386 0.04495732514866019 0.04573195786004122 0.14340080790262286 -0.14035446661226872 -0.03340237774228805 
14 14 14 | -0.12425397440113972 0.0002807976922101078 -0.03459885187920616 0.010168282227067749 -0.019099058933523407 0.018484944562503807 0.19549513847989236 -0.02669231126222833 -0.027365950927535132 
15 15 15 | -0.1547310297714608 0.018074030637848112 -0.00796896600725581 -0.01372359771260656 0.05698126126828372 0.07217419186233534 0.14035403674262967 -0.09429807679902932 -0.02356210511833846 
16 16 16 | -0.2012073430605268 0.03155006256783098 -0.013595552798839462 -0.015429466191818631 0.05732663900553544 -0.0783446204187344 0.13692224997961785 -0.08765096287291471 0.07392353345137419 
17 17 17 | -0.43174539087832553 -0.04733522440031242 -0.025773341128375163 0.04851799598367518 -0.052282879108735476 -0.001594794959382913 0.055153308875304306 0.02555040586137539 0.0022530797807559224 
18 18 18 | 0.35744271455376786 0.021558580377048477 0.003510274082213227 -0.030439612288331298 -0.014272094648681562 -0.0033181152366606797 -0.012881801880104099 0.019022141804891635 0.00045890464872995934 
19 19 19 | 0.15264886343473782 0.03356099872306114 0.022545670002752424 -0.02973004118398102 -0.007547016471249552 -0.006684182768971359 -0.0027204617698733235 0.017405875680991736 0.0029449361044804213 
20 20 20 | 0.1482004851503934 0.0115609451222232 -0.060854772362310565 -0.0056974793784598955 -0.0031921762220444502 0.010042402700985227 -0.02222738927021925 0.007655670115169356 -0.011252663869990015 
21 21 21 | 0.13608993376882328 0.0035866678763480085 0.05469651895937418 -0.005576197471648968 0.004801694265300035 -0.004750513549631971 -0.021482226558001683 -0.004690307997756781 0.0027618786562134145 
22 22 22 | 0.13911217538912435 -0.03834192796967475 -0.019456898797976286 0.03160007403790662 -0.005270353139993626 -0.009303119282478749 -0.006328674483152444 0.016194668107831038 0.011008284896451365 
23 23 23 | 0.1410131068409367 -0.001739133776432744 0.03305368570995078 0.036892654275381416 0.001303686185647811 0.00895696934743666 0.007759974161343649 0.013141941731487368 -0.010144405246487829 
24 24 24 | 0.1412293886213245 0.03882543732819472 -0.029861975155127916 0.004454648196447362 0.004376440527142122 0.01200912492219665 -0.005799987037598705 -0.010546177044739077 -0.0017462670644079927 
25 25 25 | 0.1432567694293666 -0.03052246563873526 0.032853030424861276 0.02899131680097166 -0.004092021175961532 0.01182505453962743 -0.011791925657712303 0.008363413446994006 -0.011477141105815162 
26 26 26 | 0.1410992387138622 -0.04095154910163238 -0.011478403515965206 -0.02506235235188433 -0.011200171953797414 -0.00424989159268332 -0.005209824547795148 -0.002379597866973061 -0.011105449935311533 
