number of atoms: 16
number of fields: 9
Multipoles
---
0 0 0 | -0.37688026190781887 0.027665756506373276 -0.03118222318623536 0.09341824448244111 0.04177022541799372 0.01833900029511454 -0.04699487067740844 0.07623268838341396 0.06905596802026406 
1 1 1 | -0.3857723988326436 -0.024754294170127946 0.03367555488511182 -0.09255130844535399 0.051840678466708034 0.013644782772789356 -0.045866903863315295 0.07128729268365414 0.05360888560376954 
2 2 2 | 0.124216828119312 -0.024291811143082848 0.04113313591109222 0.016571250845944893 -0.0045979445806642715 0.007638833649752281 -0.0004926236321875075 -0.01576925064780497 0.001392068233180235 
3 3 3 | 0.12500339071202204 0.0476578629529847 0.0034770670133301364 -0.015802499932692567 -0.0023249645662841937 -0.00455958975905066 0.017702960732697035 -0.0013909335289781946 -0.0018596172108397973 
4 4 4 | 0.1281398755313693 -0.024846684903482373 -0.04268297560399234 -0.011233782083083904 -0.006625679878187435 -0.008225382081774573 -0.006355823093246949 -0.002430006356276491 -0.011997427325256424 
5 5 5 | 0.1286122577101101 0.027243524976383965 -0.038112037189176926 -0.018885918490552708 -0.00379667578376954 0.008671523482237575 0.00014931548872920998 -0.0160830483963143 0.00014498517563175605 
6 6 6 | 0.1277568409618527 -0.04884409978199397 -0.005867146395359295 0.013602874992418409 -0.002507614902379088 -0.006645694767229799 0.017015725150502547 -0.001690261622077105 -0.0007082909014780548 
7 7 7 | 0.12688223835177737 0.023744025136899927 0.043393468767305855 0.011448098139070993 -0.004382754592966437 -0.006608207684376045 -0.005329469454869622 -0.002364283545128901 -0.015977950902566047 
8 8 8 | -0.3676052347472174 0.007313993163661733 -0.0778205920002752 -0.061203225551595734 0.057544237868127755 0.005038727596890553 -0.0007069326559089772 -0.028042250393292542 -0.09535568472465936 
9 9 9 | -0.3781642973044965 0.0034003422053142736 0.07901097280246544 0.06384069336077866 0.05656108415307012 0.01066253002148616 0.008209338591240718 -0.020601837498094265 -0.10484371640344745 
10 10 10 | 0.12564533196607286 0.031337581542803944 0.028661574930231554 -0.02822178831107624 -0.004081683066732322 -0.010054746700940689 -0.0027722346460642188 -0.009549586975027504 0.011007789505945284 
11 11 11 | 0.12252922519847109 -0.050096256505840944 0.004631252498313142 -0.005625100147704598 -0.010564686750695735 0.01149190342791445 0.006712805692373321 -0.000851790940271336 0.007560806695606472 
12 12 12 | 0.12377362740391085 0.015697585000105128 -0.02646821319031681 0.03993189422501838 -0.002181872330835378 -0.0035959472877818955 -0.007432402088792723 0.015869993627970678 0.008376415510619524 
13 13 13 | 0.1253084004743451 -0.02576632663277968 -0.029282869528892547 0.03214427278338044 -0.0014879412949450092 -0.009691037320645418 -0.0020304243417053167 -0.010385708321729754 0.012480228313437487 
14 14 14 | 0.12600554562342103 0.04990140495353438 -0.004993175274909935 -0.003800544528406481 -0.010992474814066538 0.009345978154049951 0.0076189254127169 0.0013349667465788239 0.007832830935883038 
15 15 15 | 0.12307573925120663 -0.027133890263525404 0.02498505107242105 -0.03535124731707813 -0.0018265772668353323 -0.003528807649337239 -0.008521993907278334 0.015364874741318337 0.0070492589221142505 
