number of atoms: 13
number of fields: 9
Multipoles
---
0 0 0 | -0.7404352256373334 -0.00925235785338515 0.013472153752427286 0.01087680375599482 0.14750065135871787 -0.03554657358789625 -0.11704352420410621 0.12059497270539839 -0.09340815289632837 
1 1 1 | 0.957935573608677 0.010674013832041472 0.015898866385589055 0.060548457873789825 0.17044156564670546 0.008763943212828071 -0.09484974830936538 0.004612184649313807 -0.035023967054286856 
2 2 2 | -0.8189443231522322 -0.0061005653260533385 -0.011943632088343727 0.04481930953160569 0.05525954119214162 0.024778860734552613 -0.07279895121835646 0.106734735049466 -0.036213526338301175 
3 3 3 | -0.8071327806756958 -0.00014979882713841826 0.049779202451170027 0.03450097771868366 0.11488732281234598 0.012365861752233418 -0.08696003199695453 0.06008083018003255 0.019342801894109123 
4 4 4 | 0.17636962668793088 -0.02556351589352703 -0.02713006606623075 0.015212875364183791 -0.004144319710176457 -0.018174580762788172 -0.004142032529268466 -0.006522396714376425 -0.0028526667885674104 
5 5 5 | 0.15510725376987322 0.03562052088291591 -0.011991223789609635 -0.003937646409980188 -0.001835661817863477 0.013004932214727236 0.01770708770520978 0.004587294130455497 -0.014326839728617929 
6 6 6 | 0.15507620787798504 -0.009683024331404385 0.03264125532824855 -0.012279291659264613 0.01065623453574134 0.008733886228484906 -0.010307230451872122 0.0019541826474454324 0.018642384700504094 
7 7 7 | -0.06602332877033668 -0.12049372188515399 0.10262640971603097 0.12476996277611911 0.011653751848127603 0.008088258853754618 -0.013998113836531142 0.01086247538540736 -0.02068723117292131 
8 8 8 | -0.6823269598238095 0.031040022832958893 -0.09314644657957946 -0.07122338031405076 -0.058437606121867734 -0.05220028121462881 -0.0529676247387977 0.13095208704025224 0.13470974703569644 
9 9 9 | 0.5011014481750491 0.0026892687176753504 0.015574582137270525 0.004509941234420335 0.004005922732734529 -0.0063431469487466455 -0.008340224479310718 -0.0072398705239979785 0.004000859353915627 
10 10 10 | 0.05738880149689518 -0.0016397945337986496 0.048995051188373585 -0.037537825745501255 0.0061397766840711005 -0.018577766033257694 0.002059847999752945 0.021018060411205762 0.013736285977125015 
11 11 11 | 0.06574414746217383 -0.04522434309606931 -0.03598188079804992 -0.001408201061200498 0.013534547879103655 -0.02071411585154565 -0.022071408629271934 -0.012221701200364476 0.003467176145384437 
12 12 12 | 0.04489658281795872 0.03896156529183049 -0.0016532922925925732 0.044762936362081514 -0.021394031552023962 0.009915946933330214 -0.018426127781218736 -0.01320875512851036 0.019392840628663994 
