number of atoms: 26
number of fields: 9
Multipoles
---
0 0 0 | -0.48723956897755283 -0.0005657153795178165 -0.05930799743757876 0.010094129039205382 0.01682118163190458 -0.018001051474509623 0.02604044929917585 -0.09329920911373933 -0.03963238150276803 
1 1 1 | -0.2091491459949406 -0.0029850748723338743 -0.019742566797412656 0.015055305540926387 -0.037653039812336316 0.09236046928758118 0.1102902159028349 -0.17688470706039333 -0.008307394661029118 
2 2 2 | 0.1445642833897205 0.000679834454589765 0.03439098191431499 0.010015632733977462 -0.14126345338282673 -0.0021193948953671504 0.17486930769040823 -0.14447539713874993 -0.013785268250579932 
3 3 3 | -0.12220970362746009 -0.02319976413494802 0.023320730883784505 0.00867734488685767 -0.03372898519746988 -0.09152299525385066 0.09726513479089206 -0.19101439113296945 0.027665078941476313 
4 4 4 | -0.20270614290678868 0.013044161831487693 -0.01420107686612511 0.005216037417989929 -0.053459273452731 -0.08266179312381709 0.10812787930315544 -0.16367309915133682 0.04150169620981014 
5 5 5 | -0.16100780288448302 -0.0030748353450695542 0.03426539881399732 0.0011597723498064528 -0.15172695223067517 0.008972555382979483 0.14778538936677926 -0.0876255136974149 -0.008906051452354666 
6 6 6 | -0.13277678651455993 0.029843429868772985 0.015109019330213625 -0.008210891086784695 -0.01350856928807931 0.07645777235666262 0.0894183094313629 -0.18638610118248253 -0.03595769092411854 
7 7 7 | 0.14268097396386092 0.043231181001715205 0.02488375651137086 -0.013455634518958216 -0.0023848877476744285 -0.013589609146119182 -0.0054017565781701036 0.012915140815882265 0.008319480853275885 
8 8 8 | 0.13603587032815434 0.044481855264821506 -0.029958866209915596 -0.016368610851971027 -0.00036266942710043817 0.01207925462030931 -0.004796083951778411 0.01330823368670576 -0.0042878480850676425 
9 9 9 | 0.1511794084113377 -0.04565141849099616 0.002953987071589384 -0.011630515466375956 -0.010424230997954441 0.014276880604022709 0.0013717529210376563 3.1586850947748774e-05 -0.000690455890517333 
10 10 10 | 0.15291916929446292 0.025891048462370912 -0.0010770652715020783 -0.03982731962296768 -0.00701067362511669 -0.007629821499168731 0.009051411371176253 0.005361204216720252 0.00630684254765567 
11 11 11 | 0.1428061131286109 -0.04025496528091608 0.028220468534116125 0.01765930060540073 0.0012144488833451764 0.016890610445381267 -0.00516807186723756 0.01137617725335385 -0.0032919528982300397 
12 12 12 | 0.140453016902645 -0.0015319115573003105 -0.05528769456764766 -0.001222501686455815 0.015168988781336976 -0.0015776147338187974 -0.011929811009816906 0.0019392228308322073 0.0008574681117866057 
13 13 13 | 0.13951369590952456 -0.04693533190658726 -0.026301136095783054 0.01702844135392238 -0.0026737569657919943 -0.010528773069672067 -0.004611511418459412 0.014102180005737257 0.004739930599780266 
14 14 14 | 0.1607372521789575 0.015805206794902417 0.007698290878201637 0.044411951538661086 -0.002051878557915841 -0.003833517206565719 -0.003366272900178467 0.006734160193176099 -0.01326160236687411 
15 15 15 | -0.15186908911051233 -0.07603786621219144 -0.009080371436156514 -0.06117351476402134 -0.020196386716449514 -0.02473914628495206 -0.10633065779197895 -0.07127050690753738 0.008107670301532166 
16 16 16 | -0.43694922083610255 0.02912028899705342 0.07806634010009852 0.007391760853216377 -0.015634757718510167 -0.08833321408921019 -0.03860388851040158 -0.05426026366025403 -0.05782816600223438 
17 17 17 | -0.43490079715650154 0.025971211196624124 -0.07374855561438848 0.028953919151680833 -0.001211074336905898 0.079449396649671 -0.06508774265993415 -0.008801104336858646 0.05781080573742259 
18 18 18 | 0.12767574450570862 -0.0151888670047615 0.0011316163206772161 0.05615888290279203 -0.0060578932411023455 -0.0013837843341355347 -0.0014453991234152684 0.012986462244474202 -0.004229738698083463 
19 19 19 | 0.09714062220751485 0.0427724332343592 -0.00850367608617015 -0.030194739052602428 -0.02472845686424649 -0.0006544222471389438 0.0046954277081449345 0.012382224400019877 -0.003717187232798523 
20 20 20 | 0.1324134052001742 -0.004439087333619893 0.00765065201426271 -0.04615554598077989 0.0025372537132292575 0.005217928577108165 -0.007131353998273604 0.01783970199819125 -0.0038751193642851036 
21 21 21 | 0.1346212818646585 -0.04234992661359057 -0.006899071447958664 0.020919090184067655 -0.016424209373596545 0.0010440914379538093 0.00476379840315499 0.003937903913541292 -0.007813424811728871 
22 22 22 | 0.13105123961068343 0.030567779309212756 0.03341577129765377 0.01768027424619444 0.004446259256333629 -0.011618729624876254 0.0029813067609649026 -0.008050110424309885 -0.007408556080698279 
23 23 23 | 0.13244314038255212 0.006993849083296852 -0.015091072247327196 -0.04457387038319552 0.004436067527605254 -0.007645208656212209 -0.003216406226148369 0.016930289967030523 -0.0032618926094653625 
24 24 24 | 0.13501121346439082 0.03704298884068783 -0.02683239041690953 0.01815968186389632 0.003099150667931029 0.014219187545088503 0.0012996447345027776 -0.005582070781915518 0.005926630316931555 
25 25 25 | 0.13532937294908665 -0.03582724327070615 0.010612610247672974 0.03222573334719491 -0.016269082653571347 -0.0009384072849105732 0.006749361006508521 0.004587042193118847 0.006450898191056134 
