number of atoms: 10
number of fields: 9
Multipoles
---
0 0 0 | 0.8623514496877256 -0.06459216509808784 0.010642393264454458 0.02529023742759393 -0.16209800498948584 -0.015268097386789522 0.04820985104906731 0.05759073957970712 -0.13717754190856263 
1 1 1 | -0.3960468957043606 -0.0017273168187662 0.06893062387867244 0.11772961575003808 0.0485773749618646 -0.03251544463143116 -0.03351462962272147 0.06729994221192452 -0.11984716302680234 
2 2 2 | -0.40900804714307704 -0.01615556315995722 -0.059311600137589765 -0.10232380240479638 -0.15635705711359812 -0.027626671932447534 0.009628778272023327 0.07615151837144453 -0.13612245010169802 
3 3 3 | -0.8241643681772786 -0.003938278374693914 0.022118418148878997 0.03564680859731065 -0.1292194033358146 0.0017086532696486054 0.06079567493794626 0.033887483131303 -0.06308845117119656 
4 4 4 | -0.788516059136251 -0.012457903896669429 -0.02227576092899831 -0.034604233484448466 -0.10510606736800227 0.004899634603854488 0.04756742483862548 0.017296117330087027 -0.04377581528521427 
5 5 5 | 0.12780160607279734 -0.03083389741889358 -0.030714515149393447 0.02487647265072732 -0.00536001047426245 -0.010440043049520894 0.003400726282070124 -0.022657831390167273 0.0024229965619411765 
6 6 6 | 0.12294960034741254 -0.032589617333279294 0.03468384013153671 -0.013259519657947336 -0.005290940275399366 0.005443263153628862 -0.009654179704364286 0.009982601152163255 0.021548596070326963 
7 7 7 | 0.07791120478508906 0.04556787318183825 0.00043538637488063707 -0.0015946073237903563 -0.015671069992756862 0.011584034248092519 0.022576407812237922 0.0010598009687564035 -0.000739547481407684 
8 8 8 | 0.11299957581113262 0.00601308851526976 0.0406946219310178 -0.009567380270762609 -0.014567398250466256 -0.026718556349628952 -0.0008574037769316546 -0.0211916724789892 0.00816723724988572 
9 9 9 | 0.11298287665510875 0.010417050685880551 -0.028545720908605316 0.02887940842535562 -0.019479913731689537 0.011760492736599371 -0.024064782033242995 0.0016675577569400031 0.02002273735686187 
