number of atoms: 24
number of fields: 9
Multipoles
---
0 0 0 | -0.17265061675990623 0.025157875137385922 -0.005436939294680006 0.040611923952185235 -0.07777288670911547 -0.14077390121292405 0.10553846704345879 0.08091806969308526 0.022105974322060084 
1 1 1 | -0.15530663933753974 -0.00871815371949093 -0.02764872147865632 0.03964562512047399 -0.046505351130448555 -0.1633223588621055 -0.07657864520556087 0.07217605135258445 -0.08647123586146765 
2 2 2 | -0.14660070706957118 0.05145628169237152 -0.01182391558089655 0.0012882168390599556 0.04302718357835911 -0.080422961252015 0.02168364786673647 0.193558837311306 -0.07062529311729773 
3 3 3 | -0.17798570712601336 -0.01110035671744044 -0.04224818762702063 0.0013170724601588699 0.13183454346917503 -0.037149248982357545 -0.08499308160963447 0.10692920491910035 0.02180929215207311 
4 4 4 | -0.1751663365207614 -0.012704579284360189 -0.011575195263020433 -0.034927534262304535 0.15458414858112512 -0.0707824539280648 -0.03549075592074141 -0.07125090489320647 0.10961642143175089 
5 5 5 | -0.1848351885458941 -0.00834259194653764 -0.04962016888137187 0.0034015979602836453 0.046046644984600295 -0.09821841910024666 0.06426531380912759 0.18125936564223555 -0.027937599348021418 
6 6 6 | -0.14670653072419348 0.044020783225544036 -0.04195074447729656 -0.016992768517979717 -0.09749919392353819 -0.1840673325075576 -0.03477548455376389 0.09393804981196786 -0.07722324371642517 
7 7 7 | -0.20224103321544007 0.0006522390590351277 -0.014053962224301064 0.03420588569177446 0.1454620506744856 -0.11715229868578328 -0.06949294334886004 -0.07197417857978611 -0.06380434688090895 
8 8 8 | -0.12942753557049613 -0.010043482730965468 0.009885756833154308 -0.03937168504551239 0.16308456654279266 -0.13063299448986107 -0.10462494319629427 -0.0077141564623966355 -0.05905764833175235 
9 9 9 | 0.1002684899813282 0.02229373889895956 -0.03444490233413706 0.012331171029629887 -0.07550576002246435 -0.1913226811673715 0.07251331232946434 0.14252366931553231 -0.025900081216464678 
10 10 10 | 0.04982169099357936 0.006468414161269602 -0.016082897452454843 -0.002051252322998171 0.19899440995633821 -0.0836860574842958 -0.092629443055876 -0.011002405232280524 0.1063147663481745 
11 11 11 | -0.1059769653047038 0.017064034026508815 0.045681426664863585 -0.0026676309259193575 0.26616328072561496 -0.09593409675359235 -0.12824804732109174 -0.014420147034226054 0.05631519111615685 
12 12 12 | 0.7625233405326055 -0.008963712062597037 -0.0777989617058421 0.00807885041349148 0.13557983068837468 -0.02606635690018876 0.17037123192087686 -0.12021052971353077 -0.010148516394117558 
13 13 13 | -0.7590299217066203 -0.01123601380205123 -0.016785915584191357 0.03793593615779473 0.09862141470894314 -0.010208877837951009 0.06347939393676018 -0.09982150774667613 0.01716097589411403 
14 14 14 | -0.719949338966968 -0.002069298646523283 -0.009001538014114923 -0.06127912884676042 0.06687604868787647 -0.03573740140747771 0.09547844163149885 -0.16746732509402137 -0.029151804780626376 
15 15 15 | 0.11938351540481407 -0.019444952309588877 -0.019259388242307482 -0.045144137819236776 0.010589752420303161 0.014890876852921167 -0.015802734148094754 -0.004351329209414506 -0.005938022273129223 
16 16 16 | 0.11847971046849703 0.028528271772985513 0.006464367270843369 -0.04430079381791478 0.008374300088473325 0.015401880577706547 0.014169997642208368 -0.002470217735869443 0.010082477091725927 
17 17 17 | 0.12385702061112014 -0.04499716251824962 -0.029804321207353476 0.003381744383699733 -0.011359186258334555 0.00173488567441404 -0.004571222340641757 -0.019694170233393687 0.0013727430654878734 
18 18 18 | 0.1163380015465757 0.01263164436175458 0.05024597676878469 -0.0009424291591089195 -0.013721645954231915 0.0011261430754208321 0.011807874291285641 -0.020061667928997638 -0.0027200022371455263 
19 19 19 | 0.1167771475523619 0.016276952097712055 0.020620014930073774 0.04438582295204047 -0.013274716211922472 0.0036759916606200925 -0.0018297611095445076 0.008614391228348983 -0.01966106361458492 
20 20 20 | 0.13475005302082477 0.049592177924628396 0.01930240858090749 0.005185859997945537 -0.00753854623097893 -0.0007527374407176574 -4.282012731011632e-05 -0.020954193199501918 0.0034487667269447945 
21 21 21 | 0.16076894519540863 -0.01854911092103295 -0.016795249240779887 0.05199305239760534 0.0012070840245830116 0.010433291015378607 0.013729743521952529 -0.001649755333324223 0.005267838917450518 
22 22 22 | 0.1271764959553573 -0.008816606606379486 0.026427142999199564 -0.04337289233551076 -0.0075607797479524605 0.011435833785486255 0.009975874277049561 0.008914028838974346 0.014983325661970288 
23 23 23 | 0.14362395829698327 -0.003441151131565351 -0.03784653157390546 0.04166157452835785 -0.007812530900113038 0.002508371932226422 0.004633642152081436 0.0059600657872804315 0.01549896499373406 
