number of atoms: 12
number of fields: 9
Multipoles
---
0 0 0 | -0.3798068253688722 0.022331390562231903 0.040226545558414706 0.055563787766432914 -0.08474062698798662 0.043585604046595984 0.04979501645418748 -0.012358766705943137 0.03120925121888097 
1 1 1 | -0.06006610892754072 -0.045321741487151006 0.025357987318667417 0.030414312306413806 -0.05220137064333927 -0.07616060203634177 -0.11676819717213474 0.0344343355603339 -0.09356019659726042 
2 2 2 | -0.06071469305474064 0.05984098874524078 0.0005981507126744944 0.005438867096127829 0.059338988437501086 0.024145260084486843 0.027526200896767637 0.04502638571534552 -0.1584291360480713 
3 3 3 | -0.43898673205344885 -0.027773655801271425 -0.008533958969215329 -0.013638772041295684 -0.0006426851983240132 0.04553468427184048 0.04803103810432843 0.04299556880467988 -0.15679022862232264 
4 4 4 | -0.438015349117606 0.01310109933799456 -0.01823896617234305 -0.023396086494400885 -0.10386059854918395 -0.0464917000609962 -0.08403259336963484 0.0328818644613782 -0.09575464074023837 
5 5 5 | 0.5871239327322861 0.02789023676280297 0.049519201499841556 0.06844986285760027 -0.13537993893035627 0.034483847501284165 0.01685418260716725 0.038909496613365555 -0.13722138650023358 
6 6 6 | -0.7657979260441081 -0.007994760483006784 -0.014401403270765483 -0.0199818968455071 -0.1158112632917907 0.03687714397523334 0.027435913200439505 0.020919621314495665 -0.07777256123079525 
7 7 7 | 0.11520798286680267 -0.014181387702329554 -0.025211048347174525 -0.03484039167049165 0.03547505833204537 -0.013364599767517367 -0.012000751248693601 -0.003187033352917061 0.013727392590967698 
8 8 8 | 0.08447742525771407 0.03502470339936075 -0.0226817279101403 -0.027624310545640806 0.013763961870392045 0.017328380598177956 0.02594527070085984 -0.004587560180716598 0.010457578351066274 
9 9 9 | 0.08462920757430104 -0.049311272027995935 -0.0028678822704057225 -0.007668570964776869 -0.015847416218036658 -0.009139745139893372 -0.012126753814733042 -0.007380540957657919 0.02751593391413442 
10 10 10 | 0.13549334513396194 0.037795528005910455 0.00709818330471852 0.0124277073723996 -0.017653672370661996 -0.008589304987039099 -0.012464163646757889 -0.0044118805237130495 0.017440735834784626 
11 11 11 | 0.1353381842744359 -0.021946196780439683 0.021119147423095314 0.026542303304997454 0.009722481007694414 0.015814397493142333 0.02265469670698433 -0.001877197899593158 0.001806656947219132 
